Wavenumber	Intensity
nm	a. u.
3200	1758.87590669048
3198	1974.74253607143
3196	2110.58695657143
3194	2166.40916819048
3192	2105.12263561905
3190	2039.28042661905
3188	1953.24663047619
3186	1890.4593947619
3184	1750.10465719048
3182	1806.87617514286
3180	1825.40898690476
3178	1989.71997095238
3176	2150.42450861905
3174	2058.45946728571
3172	1863.99795871429
3170	1882.90062228571
3168	1875.64880766667
3166	1941.64544314286
3164	1913.92832390476
3162	1758.87389019048
3160	1805.40070128571
3158	1803.3720842381
3156	1758.58238985714
3154	1782.33598190476
3152	1866.98601409524
3150	1951.87566338095
3148	1942.67867104762
3146	1951.98396047619
3144	1962.54805485714
3142	1998.14534204762
3140	2149.36614628571
3138	2208.07574404762
3136	2160.53622257143
3134	2233.64370847619
3132	2195.31991709524
3130	1936.15030695238
3128	1703.928513
3126	1518.06337538095
3124	1535.64467447619
3122	1691.49409152381
3120	1797.99159661905
3118	1725.68919290476
3116	1689.62388614286
3114	1588.05873219048
3112	1456.58771209524
3110	1582.76488971429
3108	1813.370553
3106	1864.65077290476
3104	2068.99120952381
3102	2053.04915061905
3100	2058.07812061905
3098	2075.06631014286
3096	1939.58937761905
3094	1811.36805914286
3092	1838.20218633333
3090	1787.09391361905
3088	1795.26006657143
3086	1785.51957038095
3084	1724.59325095238
3082	1809.68533795238
3080	1909.98750190476
3078	1930.65757104762
3076	1902.439282
3074	1897.85437871429
3072	1767.5282122381
3070	1710.71795990476
3068	1666.64138095238
3066	1794.68295152381
3064	1861.63887314286
3062	1924.72919342857
3060	1738.65948633333
3058	1625.3784167619
3056	1475.95702152381
3054	1670.49698428571
3052	1699.84028742857
3050	1684.21824752381
3048	1646.29343938095
3046	1609.09988595238
3044	1465.55353433333
3042	1586.02919619048
3040	1638.9801107619
3038	1624.13360704762
3036	1682.03498238095
3034	1657.670556
3032	1550.78717547619
3030	1544.52029980952
3028	1576.08093042857
3026	1587.7716052381
3024	1677.09499566667
3022	1673.73559390476
3020	1659.61144719048
3018	1681.63368761905
3016	1575.62985152381
3014	1523.46705533333
3012	1573.80170466667
3010	1544.0421097619
3008	1590.57633842857
3006	1680.81465147619
3004	1615.32366247619
3002	1566.04288180952
3000	1613.01904747619
2998	1615.29594433333
2996	1596.51617528571
2994	1718.88158752381
2992	1681.16200490476
2990	1631.43759161905
2988	1591.6924382381
2986	1553.35503480952
2984	1483.76645547619
2982	1564.3788042381
2980	1659.76172657143
2978	1848.12866385714
2976	1883.8414242381
2974	1983.42474171429
2972	1924.37095866667
2970	1790.04050919048
2968	1744.06884771429
2966	1780.62781714286
2964	1766.47405542857
2962	1835.543532
2960	1770.17385485714
2958	1708.77622614286
2956	1679.67414447619
2954	1771.47786414286
2952	1836.58399766667
2950	1831.07581961905
2948	1768.24511752381
2946	1702.11950095238
2944	1673.70316957143
2942	1704.03589147619
2940	1774.54086409524
2938	1898.50452614286
2936	1988.6875227619
2934	1993.79278390476
2932	1977.56372928571
2930	1886.75140995238
2928	1865.17763519048
2926	1855.13620666667
2924	1868.93247914286
2922	1846.81945209524
2920	1849.26321290476
2918	1894.56074547619
2916	1956.68929052381
2914	1930.03253247619
2912	1926.16447261905
2910	1899.85255280952
2908	1792.66742366667
2906	1758.50506771429
2904	1785.75159166667
2902	1797.30936561905
2900	1841.85286747619
2898	1839.6549512381
2896	1774.28610771429
2894	1825.00940285714
2892	1853.56187366667
2890	1787.40713
2888	1752.56923166667
2886	1641.59390314286
2884	1621.45194904762
2882	1691.564076
2880	1761.61837266667
2878	1769.21687057143
2876	1789.048979
2874	1738.83386123809
2872	1668.51887023809
2870	1647.64004766667
2868	1677.14219776191
2866	1689.57673347619
2864	1644.24403457143
2862	1635.72635819048
2860	1620.90081561905
2858	1652.00743004762
2856	1728.02654790476
2854	1752.47893690476
2852	1622.22429714286
2850	1588.63723519048
2848	1564.97574480952
2846	1596.58551961905
2844	1665.18117109524
2842	1662.14249995238
2840	1631.74623866667
2838	1655.57316133333
2836	1692.99582504762
2834	1739.08574395238
2832	1708.94489671429
2830	1551.72437966667
2828	1464.4593317619
2826	1354.47683242857
2824	1342.30118071429
2822	1415.00327185714
2820	1482.65806733333
2818	1484.19577842857
2816	1581.73005195238
2814	1542.12225814286
2812	1559.45946761905
2810	1538.22124
2808	1451.99244790476
2806	1410.04527061905
2804	1485.40918628571
2802	1523.61456652381
2800	1602.45600161905
2798	1546.77769119048
2796	1512.06162128571
2794	1487.75512461905
2792	1492.96227785714
2790	1481.02757333333
2788	1483.89527933333
2786	1449.59644652381
2784	1531.28431161905
2782	1523.34220319048
2780	1544.10560438095
2778	1550.81975847619
2776	1539.48389485714
2774	1459.53697047619
2772	1501.6862027619
2770	1538.85170019048
2768	1571.32560252381
2766	1622.13419085714
2764	1594.50552842857
2762	1477.72658052381
2760	1520.77916690476
2758	1474.0069202381
2756	1430.25819985714
2754	1447.24811580952
2752	1439.9577002381
2750	1450.58636504762
2748	1534.40748471429
2746	1455.84662609524
2744	1470.56282019048
2742	1518.85722471429
2740	1543.1896802381
2738	1533.11495447619
2736	1474.44419871429
2734	1391.34012314286
2732	1336.7223682381
2730	1322.34760214286
2728	1402.32173395238
2726	1421.38058147619
2724	1470.45212857143
2722	1487.09804080952
2720	1485.64092642857
2718	1522.23462647619
2716	1572.99330014286
2714	1486.74203933333
2712	1484.73868614286
2710	1455.98332161905
2708	1477.73921533333
2706	1508.90605214286
2704	1532.07697114286
2702	1508.44227461905
2700	1506.04559480952
2698	1539.3998082381
2696	1552.95802495238
2694	1517.89509052381
2692	1486.53267447619
2690	1440.02093766667
2688	1379.31880661905
2686	1405.47546371429
2684	1428.18760414286
2682	1443.23797033333
2680	1453.36909361905
2678	1464.4509107619
2676	1464.67567704762
2674	1523.05769180952
2672	1576.74088390476
2670	1568.28685466667
2668	1524.20359104762
