Subject	Height	SelfEsteem	Gender	weight	Salary	City	Dose1	Dose2	Dose3
	Cm			Kg					
2010							Blood pressure	Blood pressure	Blood pressure
1	161.628424515958	2.70482737945651	Female	55.8064223652149	4.61329018294981	A	122	122	119
2	164.942299292843	4.34760695798446	Female	65.5614393552215	9.41716105328135	A	128	129	126
3	169.689116727744	3.45836037290044	Female	80.6554195892627	5.01277856335371	A	117	115	111
4	164.446328133633	3.16581880137132	Female	48.1896472624703	6.50798709264423	A	118	114	116
5	170.161841224419	3.46787368647163	Female	62.8363398668149	5.68134435556544	A	131	119	118
6	162.444072658881	4.27092678208372	Female	61.3432107744109	10.7019302091611	B	129	128	120
7	166.156279176478	3.4472372210136	Female	46.4807615673235	7.38108125225398	B	123	123	120
8	164.689660149971	4.48471129745174	Female	50.3888895551399	8.61281482559881	C	123	121	116
9	165.425264970627	3.9971850874717	Female	70.485986956002	7.91902648157534	C	125	124	118
10	170.017904637853	3.77856644896115	Female	79.3677918924613	8.51040997992047	C	121	102	111
11	167.321675413862	4.02255382548395	Female	55.4546438319684	7.7553280788972	C	117	109	117
12	168.39975513161	4.62787311593083	Female	67.678613947678	9.15590737903177	C	119	112	119
13	153.777599463831	3.59233603290604	Female	45.9778776968179	7.58440362568873	B	121	112	119
14	170.29237632445	4.5333722678285	Female	44.6778399554588	9.8365149106273	B	127	121	127
15	168.598038695987	4.36870371570986	Female	51.2429061795887	9.76337784075595	A	121	120	118
16	164.731356161171	4.1780949310705	Female	45.7259372340542	7.94311394810966	A	118	114	116
17	172.097032767837	3.83789809259092	Female	62.7545519929263	6.73187400260712	B	131	119	118
18	165.164076571308	4.05078875935049	Female	40.5347031122692	7.95004238783482	B	129	128	121
19	168.230635685106	4.32716868068385	Female	68.4492068771086	8.56382932889624	B	123	123	120
20	161.102583904785	3.62420738596704	Female	54.1464875875114	5.6093549931468	B	123	121	116
21	166.976742723489	3.82735979023071	Female	80.9053781862397	7.18381730251532	B	125	124	118
22	169.963585044457	3.38283877405146	Female	72.4953959202206	7.35156303133897	B	119	112	119
23	168.261940517457	4.87513941496855	Female	77.1597070226773	10.5725847017819	C	122	113	119
24	169.095447714776	4.63358538479263	Female	59.1153709606003	10.1211433867033	C	128	121	127
25	170.049418154632	3.37700594286955	Female	70.6060457871705	6.59308773099837	C	121	120	118
26	160.714679815185	3.33318707241201	Female	41.4753519358249	5.86159282855554	C	122	121	119
27	161.359826488812	3.61002211746057	Female	43.6567200133691	5.61266978250335	C	128	129	126
28	160.984364860089	3.61911887232329	Female	43.4661918807941	7.01499678235494	C	117	115	111
29	169.039204267133	3.3842584868133	Female	39.3560800401645	7.24411165892993	A	118	114	116
30	160.246523792271	4.31738063870573	Female	40.6933385785247	9.17939573552588	A	131	119	118
31	164.386657144859	4.21855631303647	Female	59.3423427720151	10.9531732204604	A	129	128	121
32	165.517663186413	3.13084085312248	Female	71.3766575211659	5.88641935565446	B	123	123	120
33	175.604268946999	4.17409418084977	Female	95.2660030467174	9.19145046206664	B	123	121	116
34	170.181101349419	4.75769428409327	Female	57.2936199321952	10.3842303954205	C	125	124	118
35	162.205900473241	3.88182432058331	Female	64.246876216402	8.40033890574746	C	121	101	111
36	168.958348685615	3.09951073248691	Female	44.4600527731179	5.41855703519573	C	117	109	117
37	172.932113346754	3.38817446071363	Female	53.0566660853076	5.51202613381244	C	119	112	119
38	165.464183813917	4.12955589186021	Female	75.3907088863494	7.17226392643015	C	121	112	119
39	165.743263043172	4.09220911624235	Female	38.9591081249324	6.98567142017703	C	127	121	127
40	181.941989185826	3.91046288943906	Female	101.08128998182	8.19351804420274	C	121	120	118
41	180.488871674059	3.50553067877045	Male	70.4025292445497	5.1903846816994	A	122	121	119
42	171.261145499121	3.6671875705363	Male	76.7063199273004	8.59523581821647	A	128	129	126
43	176.443558450382	3.0644128547394	Male	71.1248633214606	6.47306625306304	A	117	115	111
44	173.263159712682	3.21859159371971	Male	78.619575371782	7.29755347309517	A	118	114	116
45	174.520324692007	3.42570708741515	Male	56.0636200489476	6.74622874488446	A	131	119	118
46	185.942504454398	3.971925314481	Male	66.5034058923508	6.87790747522209	B	129	128	121
47	179.819532800261	3.98793743928313	Male	75.7180531257416	8.64420672967713	B	123	123	121
48	172.218460831063	4.06393552601914	Male	72.6480711002497	9.46470953809999	C	123	122	117
49	173.559728512765	3.49781518223795	Male	65.2113724794876	6.63998670825892	C	125	124	118
50	169.617572020182	3.94178189608559	Male	72.2175112383757	7.69336324830337	C	120	108	112
51	178.379224577274	4.96014524580205	Male	79.4127654866165	11.0571521872168	C	121	112	118
52	173.943375833338	4.56477479203278	Male	70.912692245878	11.2295995656011	C	119	112	119
53	171.384685023395	3.63248828798653	Male	77.486749289107	8.67969228685931	B	121	112	119
54	178.969161726272	3.53771124596553	Male	79.3455432819135	7.37414825210652	B	127	121	127
55	185.342618180238	3.50897752343024	Male	80.5855189987415	7.44157659189422	A	122	120	118
56	180.840861465531	4.43196812062784	Male	93.8131051151075	11.071544518663	A	122	121	119
57	175.811542909318	3.53819889677302	Male	59.3630998168262	5.88403087359196	B	128	129	126
58	175.293441821487	4.1865061360206	Male	83.4092916748595	9.51128588271353	B	118	115	111
59	178.905835976425	3.96757780834723	Male	76.8322881717193	6.90957597853927	B	118	114	116
60	178.532217336139	2.91720221286515	Male	70.1962485109277	6.21457686177781	B	133	119	119
61	176.453760987573	3.4695016007956	Male	99.8862937170732	8.06392426267117	B	129	127	121
62	171.067726180007	3.66175686259511	Male	35.595069241979	7.88227833892876	B	123	123	120
63	174.414033293664	4.36063549969884	Male	68.1067917765523	8.11709716186616	C	124	122	116
64	181.174564828922	2.99490144913724	Male	85.5794654958579	6.35199619810551	C	125	124	118
65	179.552176902814	3.11507126725715	Male	64.0278884868601	4.25616824630815	C	125	124	118
66	174.358111031005	2.42228144317879	Male	83.1432596469716	3.69729661815567	C	121	101	111
67	181.466489351088	3.00915039370082	Male	71.0723864209435	6.35570805748707	C	117	109	117
