x	y
58	31
60	67
73	36
65	46
71	61
50	62
60	59
78	33
65	63
63	52
63	38
47	63
61	28
66	68
65	50
65	60
53	56
50	49
48	47
63	53
30	18
62	45
61	39
74	76
52	45
54	37
75	26
76	47
56	68
70	44
71	48
49	64
69	71
63	36
77	51
67	73
51	44
67	50
53	47
57	39
37	68
74	33
58	51
53	38
50	70
71	44
48	51
64	50
66	47
74	72
39	66
50	52
62	42
53	39
70	63
74	47
43	61
76	32
58	65
70	69
62	33
64	69
78	18
62	22
64	25
56	63
66	47
70	39
56	33
67	37
68	62
70	59
58	60
70	24
41	33
63	45
64	38
49	54
57	61
54	43
37	76
40	59
53	63
69	57
70	28
74	50
71	26
61	44
59	33
70	57
60	59
60	65
57	36
41	42
72	73
67	44
41	76
72	60
55	49
30	68
52	64
54	49
41	55
47	48
63	33
54	32
69	56
63	71
77	45
51	46
50	76
67	39
71	22
71	52
52	40
37	46
52	72
52	54
74	48
30	9
57	55
60	55
76	43
55	64
37	46
45	31
62	31
53	64
74	51
61	45
78	45
54	55
72	47
52	69
63	50
43	45
62	55
43	68
48	41
72	49
63	52
73	34
48	65
76	64
75	24
79	57
64	26
67	38
47	49
70	55
67	50
76	69
57	38
51	50
47	56
54	33
59	48
72	58
59	31
43	31
48	35
58	29
70	51
54	41
49	64
71	50
48	71
73	60
55	42
56	66
60	37
68	57
67	50
41	50
54	40
49	66
76	47
72	63
52	71
64	49
52	60
55	20
58	66
57	61
58	63
45	64
37	67
56	44
53	58
56	60
53	22
59	44
47	31
64	56
47	61
60	58
54	52
45	63
63	62
66	51
70	58
71	49
50	39
52	42
57	47
54	28
49	66
59	59
52	55
73	55
57	77
52	47
66	51
56	39
79	35
64	43
70	50
68	40
62	63
71	41
64	31
77	28
51	61
48	62
39	63
57	24
37	48
57	43
65	38
58	53
58	46
77	55
76	42
54	50
72	44
50	22
50	64
47	20
53	45
45	70
68	54
57	49
69	25
65	18
57	75
58	59
66	31
66	52
73	59
68	28
76	61
76	59
65	69
73	48
30	42
60	43
62	42
47	38
77	73
52	43
63	71
63	28
55	47
72	38
72	36
45	33
64	22
56	45
60	18
58	70
58	60
71	47
52	72
43	48
58	70
48	75
63	41
54	31
58	67
73	24
67	65
61	48
73	50
47	32
54	75
43	57
75	41
57	57
39	45
51	20
45	51
70	62
47	42
50	61
71	44
64	34
61	62
45	57
73	43
55	69
56	50
47	37
65	29
55	57
55	41
65	58
54	38
62	47
68	68
54	37
61	69
56	28
60	68
60	43
62	43
78	68
53	57
