Subject	Class	Data
1	1	77.7111
2	1	88.07729
3	1	92.15046
4	1	77.70871
5	1	72.25362
6	1	78.62515
7	1	85.23966
8	1	70.83567
9	1	79.41474
10	1	91.14475
11	1	66.22726
12	1	90.35227
13	1	72.39297
14	1	77.58991
15	1	76.73526
16	1	57.93992
17	1	80.75954
18	1	82.81923
19	1	78.20339
20	1	80.60228
1	2	83.52885
2	2	75.17097
3	2	87.96739
4	2	91.59955
5	2	81.93563
6	2	89.47048
7	2	78.08122
8	2	75.17685
9	2	67.86902
10	2	86.43165
11	2	77.01454
12	2	81.61197
13	2	93.49869
14	2	85.32084
15	2	95.34041
16	2	77.72239
17	2	97.09996
18	2	81.93963
19	2	92.92086
20	2	83.46398
1	3	78.15473
2	3	79.42937
3	3	83.52293
4	3	71.4648
5	3	72.90409
6	3	76.00594
7	3	56.95944
8	3	86.2977
9	3	71.75579
10	3	80.70996
11	3	74.29516
12	3	77.23214
13	3	74.74264
14	3	87.19654
15	3	69.48614
16	3	69.98844
17	3	71.68327
18	3	70.78063
19	3	88.55816
20	3	81.34672
