Class1	Class2	Class3
77.7111	83.52885	78.15473
88.07729	75.17097	79.42937
92.15046	87.96739	83.52293
77.70871	91.59955	71.4648
72.25362	81.93563	72.90409
78.62515	89.47048	76.00594
85.23966	78.08122	56.95944
70.83567	75.17685	86.2977
79.41474	67.86902	71.75579
91.14475	86.43165	80.70996
66.22726	77.01454	74.29516
90.35227	81.61197	77.23214
72.39297	93.49869	74.74264
77.58991	85.32084	87.19654
76.73526	95.34041	69.48614
57.93992	77.72239	69.98844
80.75954	97.09996	71.68327
82.81923	81.93963	70.78063
78.20339	92.92086	88.55816
80.60228	83.46398	81.34672
