Subject	drug	dose	data
1	1	1	0.845186471939087
2	1	1	1.28813564777374
3	1	1	0.865248203277588
4	1	1	1.12000000476837
5	1	1	0.839999973773956
6	1	1	1.10141849517822
7	1	1	1.28999996185303
8	1	1	1.35000002384186
9	1	1	1.0527651309967
10	1	1	1.03999996185303
11	1	1	0.960020244121552
12	1	1	1.08000004291534
13	1	1	0.660000026226044
14	1	1	1.40099012851715
15	1	1	1.29999995231628
16	1	1	1.28999996185303
17	1	1	1.50753116607666
18	1	1	0.949999988079071
19	1	1	0.861262261867523
20	1	1	0.990359306335449
21	1	1	1.51814341545105
22	1	1	0.910000026226044
23	1	1	1.76196992397308
24	1	1	1.24000000953674
25	1	1	1.28999996185303
26	1	1	1.42999994754791
27	1	1	0.967571616172791
28	1	1	0.910000026226044
1	1	2	0.75042587518692
2	1	2	1.19493675231934
3	1	2	0.762223720550537
4	1	2	1.0900000333786
5	1	2	0.819999992847443
6	1	2	1.03417861461639
7	1	2	1.1599999666214
8	1	2	1.20000004768372
9	1	2	1.10374641418457
10	1	2	1.11000001430511
11	1	2	0.972890019416809
12	1	2	0.939999997615814
13	1	2	0.701208174228668
14	1	2	1.22589349746704
15	1	2	1.14999997615814
16	1	2	1.37999999523163
17	1	2	0.820374011993408
18	1	2	0.920000016689301
19	1	2	1.06161975860596
20	1	2	1.14613974094391
21	1	2	1.16049385070801
22	1	2	1.14999997615814
23	1	2	1.25999999046326
24	1	2	0.829999983310699
25	1	2	1.1599999666214
26	1	2	1.04999995231628
27	1	2	0.930000007152557
28	1	2	0.759999990463257
1	2	1	0.790000021457672
2	2	1	1.16999995708466
3	2	1	0.709999978542328
4	2	1	0.959999978542328
5	2	1	0.829999983310699
6	2	1	1.08000004291534
7	2	1	1.28999996185303
8	2	1	1.08000004291534
9	2	1	1.01999998092651
10	2	1	1.17999994754791
11	2	1	0.959999978542328
12	2	1	0.899999976158142
13	2	1	0.740000009536743
14	2	1	1.12000000476837
15	2	1	1.12000000476837
16	2	1	1.51999998092651
17	2	1	0.800000011920929
18	2	1	0.889999985694885
19	2	1	1.1599999666214
20	2	1	1.12999999523163
21	2	1	1.23000001907349
22	2	1	1.04999995231628
23	2	1	1.32000005245209
24	2	1	0.939999997615814
25	2	1	1.04999995231628
26	2	1	1.20000004768372
27	2	1	0.990000009536743
28	2	1	0.850000023841858
1	2	2	0.779999971389771
2	2	2	1.23000001907349
3	2	2	0.680000007152557
4	2	2	1.11000001430511
5	2	2	0.790000021457672
6	2	2	1.08000004291534
7	2	2	1.14999997615814
8	2	2	1.12000000476837
9	2	2	0.860000014305115
10	2	2	1.07000005245209
11	2	2	1.12999999523163
12	2	2	1.08000004291534
13	2	2	0.779999971389771
14	2	2	1.17999994754791
15	2	2	1.21000003814697
16	2	2	1.37999999523163
17	2	2	1.05999994277954
18	2	2	0.939999997615814
19	2	2	1.16999995708466
20	2	2	1.13999998569489
21	2	2	1.21000003814697
22	2	2	1.19000005722046
23	2	2	1.37999999523163
24	2	2	1.07000005245209
25	2	2	1.17999994754791
26	2	2	1.29999995231628
27	2	2	0.910000026226044
28	2	2	0.75
1	3	1	0.819999992847443
2	3	1	1.19000005722046
3	3	1	0.709999978542328
4	3	1	1.0900000333786
5	3	1	0.850000023841858
6	3	1	1.08000004291534
7	3	1	1.19000005722046
8	3	1	1.1599999666214
9	3	1	0.990000009536743
10	3	1	1.1599999666214
11	3	1	1.28999996185303
12	3	1	0.860000014305115
13	3	1	0.769999980926514
14	3	1	1.26999998092651
15	3	1	1.25
16	3	1	1.50999999046326
17	3	1	0.879999995231628
18	3	1	0.949999988079071
19	3	1	1.10000002384186
20	3	1	1.21000003814697
21	3	1	1.16999995708466
22	3	1	0.939999997615814
23	3	1	1.10000002384186
24	3	1	0.930000007152557
25	3	1	1.05999994277954
26	3	1	1.0900000333786
27	3	1	0.970000028610229
28	3	1	0.689999997615814
1	3	2	0.889999985694885
2	3	2	1.14999997615814
3	3	2	0.680000007152557
4	3	2	1.07000005245209
5	3	2	0.779999971389771
6	3	2	1.07000005245209
7	3	2	1.21000003814697
8	3	2	1.20000004768372
9	3	2	0.899999976158142
10	3	2	1
11	3	2	1.11000001430511
12	3	2	0.930000007152557
13	3	2	0.779999971389771
14	3	2	1.07000005245209
15	3	2	1.21000003814697
16	3	2	1.48000001907349
17	3	2	1.19000005722046
18	3	2	0.920000016689301
19	3	2	0.850000023841858
20	3	2	1.1599999666214
21	3	2	1.13999998569489
22	3	2	1.12000000476837
23	3	2	1.24000000953674
24	3	2	0.910000026226044
25	3	2	1.01999998092651
26	3	2	1.0900000333786
27	3	2	0.949999988079071
28	3	2	0.699999988079071
