Subject	Time	Gender	Weight
1	1	male	107.3
2	1	male	86.4
3	1	male	100.2
4	1	male	86.9
5	1	male	72.3
6	1	male	120.4
7	1	male	97.7
8	1	male	84
9	1	male	95.3
10	1	male	73
11	1	male	107
12	1	male	81.85
13	1	male	84
14	1	male	96.5
15	1	male	93
16	1	male	77.7
17	1	male	92
18	1	male	103
19	1	male	67.4
20	1	male	88.5
21	1	male	69
22	1	male	75.9
23	1	male	88
24	1	male	100.1
25	1	female	69.3
26	1	female	76.05
27	1	female	108.5
28	1	female	85.5
29	1	female	61.5
30	1	female	76.7
31	1	female	96.3
32	1	female	85.3
33	1	female	70.3
34	1	female	98.15
35	1	female	80.4
36	1	female	90.2
37	1	female	59.1
38	1	female	81.73
39	1	female	50.1
40	1	female	91.44
41	1	female	52.6
42	1	female	98.3
43	1	female	81.06
44	1	female	50.1
45	1	female	92.19
46	1	female	51.6
47	1	female	81
48	1	female	62.8
1	2	male	100.6
2	2	male	79.9
3	2	male	104.3
4	2	male	92.1
5	2	male	71.2
6	2	male	102.9
7	2	male	95.7
8	2	male	85.9
9	2	male	89.1
10	2	male	75.2
11	2	male	102.1
12	2	male	76.2
13	2	male	75.9
14	2	male	80.6
15	2	male	81.2
16	2	male	75.6
17	2	male	80.1
18	2	male	82.3
19	2	male	68.2
20	2	male	90.1
21	2	male	70.3
22	2	male	70.5
23	2	male	80.9
24	2	male	96.2
25	2	female	55.1
26	2	female	47.6
27	2	female	72.3
28	2	female	76.9
29	2	female	68.7
30	2	female	75.9
31	2	female	68.5
32	2	female	75.1
33	2	female	64.9
34	2	female	59.7
35	2	female	82.6
36	2	female	55.1
37	2	female	55.9
38	2	female	68
39	2	female	49.5
40	2	female	72.06
41	2	female	51.1
42	2	female	63.8
43	2	female	71.56
44	2	female	52.06
45	2	female	79.5
46	2	female	50.7
47	2	female	80.1
48	2	female	60.2
1	3	male	87.3
2	3	male	76.4
3	3	male	95.3
4	3	male	62
5	3	male	72.3
6	3	male	62
7	3	male	67.7
8	3	male	84
9	3	male	69.3
10	3	male	73
11	3	male	77
12	3	male	65.85
13	3	male	76.1
14	3	male	66.5
15	3	male	73
16	3	male	57.7
17	3	male	75.9
18	3	male	85.3
19	3	male	70.2
20	3	male	78.4
21	3	male	70.6
22	3	male	71.6
23	3	male	82.6
24	3	male	90.3
25	3	female	60.3
26	3	female	50.05
27	3	female	58.5
28	3	female	55.5
29	3	female	51.5
30	3	female	66.7
31	3	female	62.3
32	3	female	65.3
33	3	female	70.3
34	3	female	68.15
35	3	female	56.9
36	3	female	60.2
37	3	female	60.1
38	3	female	61.73
39	3	female	50.5
40	3	female	61.44
41	3	female	51.6
42	3	female	62.9
43	3	female	50.38
44	3	female	46.7
45	3	female	57.35
46	3	female	54.9
47	3	female	80
48	3	female	65.1
