A	B	C	D	E	F	G	H
1	0	21	57.05	19.75	--	18	--
2	0	18	6	20.75	--	40.5	--
3	1	39	83.15	23.5	36.9	28	37.4
4	1	22	48.55	--	--	--	--
5	1	30	96.6	--	--	--	--
6	1	29	107.8	--	27.35	--	--
7	1	23	107.25	--	31.1	18.25	--
8	0	62	24.5	56	--	34	49.95
9	0	76	33.15	27.5	--	35	--
10	1	74	40.6	--	19.55	--	--
11	0	63	11.2	38.25	44.65	13.75	55.25
12	0	36	130.25	--	30.55	--	--
13	1	33	127.85	39.25	46.35	54.25	54.85
14	0	29	158.9	33.5	--	36	41.65
15	1	27	201.65	29.25	--	19.75	--
16	0	49	511.85	49	--	18.75	--
17	0	24	95.5	19.25	--	53.75	--
18	1	26	154.65	30	--	17.75	--
19	1	15	17.25	--	--	--	--
20	0	25	134.85	--	46.75	--	48.5
21	1	75	17.25	18.75	--	11	--
22	1	12	3.4	--	37	17	--
23	1	49	197.45	32.2	--	14.25	32.2
24	0	20	137.1	--	37.45	15.4	38.8
25	1	77	13.2	--	22.95	24.1	--
26	0	16	82.25	31.5	--	15.5	26.75
27	1	20	85.85	--	22.5	--	--
28	1	11	3.75	--	--	22.25	--
29	0	67	19.2	23.75	37.25	22.5	30.05
30	0	36	175.7	15.5	--	--	--
31	1	33	121.55	18.5	--	14.25	--
32	0	37	198.65	15.75	28.35	--	--
