Zip Codes	New House Sold
92844	42
93209	35
93018	44
93053	52
92675	58
92654	48
92803	62
92912	56
92703	49
92799	44
92944	39
93187	31
92705	39
92755	46
93122	53
93231	49
93107	52
93103	53
92997	54
92649	56
92984	48
93201	45
93174	37
92972	33
92955	38
92932	44
92818	53
93207	49
93020	54
93086	57
93233	51
93160	58
93240	48
92744	44
92757	42
93215	37
92788	42
93062	43
93113	53
92729	49
93188	49
92785	40
92787	40
93058	36
93183	29
92962	31
93074	26
93032	23
92801	29
93158	32
92759	41
93102	44
92809	49
92971	47
92701	46
92909	47
93055	43
93025	45
92835	34
93191	31
93195	35
92874	43
93039	46
93110	46
92906	43
92873	41
92996	44
93071	47
92977	41
92674	40
93169	32
92668	32
93180	34
92657	40
93028	43
92789	42
92659	43
92865	44
92940	39
92625	40
92646	33
93073	32
93163	31
92738	28
92842	34
92698	29
92770	36
92941	42
92850	43
92979	44
92708	44
92781	48
92869	45
92711	44
92758	40
92776	37
92735	45
92817	49
92851	62
93097	62
92687	58
92716	59
92764	64
93083	62
92730	50
92969	52
92973	50
93221	44
92891	51
92768	56
92637	60
92771	65
93230	64
92878	63
93170	63
93021	72
92980	61
93149	65
93048	51
92694	47
92875	55
92988	60
93172	68
93225	63
93232	65
93212	61
92861	54
93023	52
92752	46
92653	42
92812	37
92967	30
92961	37
92628	44
93064	55
92672	53
92876	58
93119	50
92700	48
93167	45
92798	41
93216	34
92639	30
92678	24
93076	29
93165	34
92867	44
93091	54
93054	57
92939	51
92877	51
92963	53
92927	46
92806	46
93004	46
92670	39
92769	41
93228	53
93100	55
92855	62
93031	55
92887	56
92946	57
92860	59
93027	58
93084	55
93006	49
93224	47
92990	57
92974	68
93013	84
93030	81
93081	78
92709	74
92816	64
93176	74
93162	71
93077	63
92762	55
92741	51
92725	57
93014	63
92820	75
92658	85
92683	80
93227	77
93008	68
92933	72
92920	68
92813	70
93146	53
93080	50
92634	53
92978	58
93197	73
92651	72
92888	68
93184	63
92922	64
92925	68
92804	60
93137	54
92829	41
92747	35
93205	43
92697	44
92883	44
92721	36
93161	44
92824	50
93050	55
92899	61
93011	50
93203	46
93009	39
93202	33
93118	37
93099	40
92650	49
92696	44
92840	45
93089	38
92707	36
93010	34
93098	28
93156	29
92931	27
92911	29
93012	28
93177	29
92774	36
92732	32
93129	36
93218	34
92839	31
93092	36
92641	39
92693	40
92739	39
93036	33
92916	44
93178	46
92754	57
92834	59
93185	64
92892	59
92859	51
93217	50
93000	48
93045	51
93046	45
93164	48
92987	52
92938	58
92983	63
92858	61
92722	59
92743	58
93109	52
93131	48
92676	53
92846	55
92796	42
92956	38
92756	48
92981	55
92728	67
93236	60
92934	65
93200	65
92822	63
92879	61
92884	54
92841	52
92765	51
93003	47
92845	55
92681	59
93007	89
92976	84
93204	75
92918	66
93182	57
92667	52
92663	60
93117	54
93234	48
92742	49
92779	53
93114	59
93155	73
93126	72
92896	62
92914	58
93043	55
92993	56
92825	52
93037	52
93171	43
92919	37
92923	43
92942	55
92717	68
92648	68
93095	64
92699	65
93139	57
92638	59
92965	54
92957	57
92792	43
92894	42
93135	52
93033	51
93152	58
92712	60
93035	61
92713	58
93096	62
92761	61
92695	49
92992	51
93104	47
92710	40
92856	45
92991	50
93069	58
92656	52
92627	50
93038	50
92807	46
92702	46
93138	38
92833	37
92849	34
92782	29
93056	30
92947	40
92682	51
92671	50
92838	47
92629	47
92647	43
92726	46
92986	37
92673	41
93140	39
93060	36
92895	48
93175	55
93041	56
93034	53
93166	52
93238	53
93133	52
92724	56
92901	51
93075	48
92685	42
93189	42
92737	44
92910	50
92790	60
92915	66
92998	58
92626	59
92831	55
92904	57
93059	57
92688	56
92800	53
92643	51
92763	46
93229	58
92943	74
92936	65
93168	65
92642	55
93143	52
93211	59
93196	54
93015	57
92751	45
92783	40
92951	47
93057	47
93154	60
92893	58
93223	63
92665	64
92903	64
93148	63
92905	54
93088	54
92802	46
92948	45
92669	54
92720	68
92772	70
92886	70
92664	69
92929	65
93237	66
93066	73
92826	62
92679	56
93210	54
92662	51
93026	61
92746	69
93141	81
93190	70
92793	71
93016	71
93213	69
92719	72
92953	67
92635	62
92926	61
92995	51
92852	64
92784	75
92913	81
93206	82
93112	82
93063	83
93151	75
93047	75
93079	68
92945	69
92689	70
93241	61
93051	67
93019	76
92723	84
93105	86
93093	80
92871	82
92952	78
93106	78
92690	65
93157	67
92760	61
92848	57
92814	67
92882	78
93147	88
92736	78
92964	77
92740	71
92821	76
93125	73
92902	70
92692	71
92661	63
93090	65
93128	72
92778	85
92704	94
92854	84
92780	80
92885	79
92766	76
92937	74
93040	66
92750	66
93134	67
92660	66
93136	66
92819	84
93145	90
93078	86
93127	88
92775	84
92691	82
92968	90
93239	82
92843	77
93094	73
92733	70
93181	76
92862	82
93001	98
92805	91
92633	101
92727	107
92749	99
92872	105
92808	90
92677	88
93111	76
92795	75
92773	89
93044	102
93085	123
92745	109
93123	115
92827	105
93101	96
92999	102
92767	94
92706	101
93116	84
93235	83
93150	92
92935	109
93068	127
93017	116
92921	120
92715	115
92718	117
92959	110
93108	99
92794	105
92949	86
92890	87
93029	89
92880	88
92897	108
92930	100
93194	102
93173	98
92994	83
93049	88
92966	80
92847	74
92734	71
92655	71
93121	66
93179	68
93052	80
92666	83
93124	79
93192	73
92823	68
93082	60
92958	53
93061	57
92797	45
93186	44
93226	44
92863	48
93159	49
92815	49
93002	49
92989	45
93208	43
92830	38
92832	35
93153	32
92837	27
93005	26
92644	24
92714	29
92975	31
92954	32
92631	34
92917	37
92857	38
92684	36
93087	30
93214	33
92630	26
93067	24
92868	24
93198	27
92898	36
92786	41
92908	26
92924	28
93132	26
92866	23
92907	25
92680	23
93024	20
92828	23
93022	21
93042	22
92864	28
92853	30
93220	28
93199	28
92810	27
92870	25
93219	24
92889	25
92960	23
93222	24
93070	23
92982	30
93193	34
92748	34
93144	35
92970	34
93115	33
92731	31
92753	30
92791	29
93072	28
92686	28
92928	32
93065	36
92652	41
92900	43
92811	40
92985	43
93142	33
92881	31
92640	31
92950	36
92777	32
92836	31
93120	33
92645	35
93130	39
92636	40
92632	49
