Ownership	Certification	Cost of Nursing Labor	Cost of Housekeeping Labor	Cost of Maintenance Labor
Private	Skilled Nursing	3.74454	1.17113	0.58663
Private	Skilled Nursing	3.0179	1.21865	1.6195
Private	Skilled Nursing	1.94072	0.71975	1.53776
Private	Skilled Nursing	2.99106	0.56113	1.51194
Private	Skilled Nursing	1.82276	0.67384	1.67975
Private	Skilled Nursing	2.79312	0.85015	2.06154
Private	Skilled Nursing	4.0583	0.77515	2.19106
Private	Skilled Nursing	3.94559	0.74082	2.22775
Private	Skilled Nursing	3.3035	1.02156	1.59034
Private	Skilled Nursing	3.91793	0.80153	2.00531
Private	Skilled Nursing	3.1641	1.39079	1.01991
Private	Skilled Nursing	1.96599	0.87767	0.64354
Private	Skilled Nursing	1.97083	1.28558	1.46064
Private	Skilled Nursing	2.92795	0.76441	2.81387
Private	Skilled Nursing	4.64262	0.57754	1.64631
Private	Skilled Nursing	3.58396	1.66384	2.50965
Private	Skilled Nursing	4.4969	0.49639	1.6716
Private	Skilled Nursing	2.49546	1.04158	1.34068
Private	Skilled Nursing	3.25528	1.00485	1.72975
Private	Skilled Nursing	2.78373	0.84102	1.86498
Private	Skilled Nursing	1.72266	0.65496	1.06849
Private	Skilled Nursing	2.64473	0.29916	0.6265
Private	Skilled Nursing	3.51519	1.25337	1.24008
Private	Skilled Nursing	3.36888	0.55659	2.03608
Private	Skilled Nursing	3.66704	1.33191	2.14293
Private	Skilled Nursing	4.68897	0.88984	2.03542
Private	Skilled Nursing	3.89983	1.05109	2.29541
Private	Skilled Nursing	3.16507	1.13409	1.44393
Private	Skilled Nursing	2.5528	1.42612	1.77034
Private	Skilled Nursing	1.9692	1.3674	1.17419
Private	Skilled Nursing	3.71157	1.12736	1.08153
Private	Skilled Nursing	3.96613	1.13028	1.18267
Private	Skilled Nursing	3.06624	1.50783	1.52529
Private	Skilled Nursing	1.51952	0.62954	1.33489
Private	Intermediate Care	3.58377	0.87186	0.81139
Private	Intermediate Care	2.99978	1.38866	2.73123
Private	Intermediate Care	2.60455	0.86408	0.89838
Private	Intermediate Care	3.87092	1.47855	1.40015
Private	Intermediate Care	2.75163	1.89713	2.26898
Private	Intermediate Care	3.4406	0.80071	0.93948
Private	Intermediate Care	1.75529	0.88342	1.38367
Private	Intermediate Care	2.41772	0.7958	2.33707
Private	Intermediate Care	1.57111	0.6252	1.99872
Private	Intermediate Care	2.13313	0.95628	2.10228
Private	Intermediate Care	2.71986	0.23792	2.28951
Private	Intermediate Care	1.94612	0.5938	0.40146
Private	Intermediate Care	2.29611	0.87991	1.94351
Private	Intermediate Care	3.4822	0.93592	1.89226
Private	Intermediate Care	4.19196	0.78103	0.60729
Private	Intermediate Care	4.76751	1.1399	1.87465
Private	Intermediate Care	2.7822	1.19087	1.57607
Private	Intermediate Care	3.71627	0.84289	0.29804
Private	Intermediate Care	2.27487	1.45431	1.62614
Private	Intermediate Care	5.46286	1.48249	1.23062
Private	Intermediate Care	4.41264	1.21452	1.42733
Private	Intermediate Care	3.55012	0.59428	0.39078
Private	Intermediate Care	4.22367	1.3972	0.90996
Private	Intermediate Care	0.28278	0.78395	2.15017
Private	Intermediate Care	3.47128	1.21221	1.4108
Private	Intermediate Care	1.66037	0.7876	0.81125
Private	Intermediate Care	1.76019	0.74276	0.35044
Private	Intermediate Care	4.23797	0.9037	1.30708
Private	Intermediate Care	3.97977	1.25316	1.64323
Private	Intermediate Care	2.95848	1.43173	1.19521
Private	Intermediate Care	3.50955	1.06463	1.49625
Private	Intermediate Care	3.38093	1.33906	0.31655
Private	Intermediate Care	1.80593	0.98077	1.48143
Private	Intermediate Care	4.02487	1.00053	1.91032
Private	Intermediate Care	2.16474	0.94334	1.50265
Private	Intermediate Care	4.62456	1.37344	2.09536
Private	Intermediate Care	3.18166	0.94278	1.01799
Private	Intermediate Care	2.43061	0.91924	1.36163
Private	Intermediate Care	3.17811	1.14007	2.19572
Private	Intermediate Care	2.78318	0.78855	1.57026
Private	Intermediate Care	3.61055	0.92834	1.92845
Private	Intermediate Care	2.21554	0.89576	0.52297
Private	Intermediate Care	4.19646	1.24856	0.94829
Private	Intermediate Care	0.78713	0.86783	1.50606
Private	Intermediate Care	2.31764	1.13666	0.71902
Private	Intermediate Care	1.89098	0.75996	1.1814
Private	Intermediate Care	1.4685	1.09193	0.23725
Private	Intermediate Care	4.75497	0.78933	1.32887
Private	Intermediate Care	1.96841	0.65488	0.411
Private	Intermediate Care	3.37339	0.78801	1.5878
Private	Intermediate Care	4.31128	0.80517	0.62359
Private	Intermediate Care	4.45231	0.66245	1.72363
Private	Intermediate Care	4.33085	1.1672	1.41868
Private	Intermediate Care	4.47811	0.87234	0.93406
Private	Intermediate Care	3.08258	0.75592	1.34137
Private	Intermediate Care	0.67726	0.9415	2.67765
Private	Intermediate Care	2.19548	0.64727	0.7986
Private	Intermediate Care	3.7339	1.55006	1.04182
Private	Intermediate Care	4.1305	1.60771	1.40586
Private	Intermediate Care	1.50232	1.11945	1.76408
Private	Intermediate Care	4.40255	0.53361	1.62774
Private	Intermediate Care	2.33911	1.3144	1.04731
Private	Intermediate Care	3.93971	0.88509	0.82818
Private	Intermediate Care	2.60359	0.9458	2.74866
Private	Intermediate Care	3.58504	1.15711	0.6463
Private	Intermediate Care	3.10296	0.34894	2.02196
Private	Intermediate Care	2.67958	1.90609	1.93768
Private	Intermediate Care	2.65669	1.63021	1.23936
Private	Intermediate Care	4.01521	0.96575	2.00149
Private	Intermediate Care	3.53426	0.91177	2.33525
Private	Intermediate Care	3.88181	1.38969	0.92998
Private	Intermediate Care	4.91383	1.32293	1.58148
Private	Intermediate Care	3.81295	1.35332	2.11078
Private	Intermediate Care	2.49455	0.93038	2.11826
Private	Intermediate Care	4.17256	0.47647	1.33608
Private	Intermediate Care	3.41813	0.70287	2.78847
Private	Intermediate Care	2.84677	0.86768	0.65886
Private	Intermediate Care	3.52577	0.31008	1.22714
Private	Intermediate Care	5.22526	1.19382	1.63176
Private	Intermediate Care	3.86023	0.83699	0.89476
Private	Intermediate Care	1.84193	1.29061	1.87276
Private	Intermediate Care	3.37625	0.82421	2.18505
Private	Intermediate Care	2.39841	1.23328	1.24904
Private	Intermediate Care	2.5562	0.95835	2.77569
Private	Intermediate Care	2.71842	0.75183	1.26136
Private	Intermediate Care	2.17227	0.89916	0.37377
Private	Intermediate Care	3.18909	0.78215	1.42203
Private	Intermediate Care	2.90572	0.96093	1.82562
Private	Intermediate Care	3.07659	1.08896	1.66504
Private	Intermediate Care	3.42529	0.91984	0.37421
Private	Intermediate Care	1.49422	0.27277	1.86085
Private	Intermediate Care	2.98449	1.18036	0.48106
Private	Intermediate Care	3.53507	0.7785	1.15854
Private	Intermediate Care	4.49968	1.52429	1.37626
Private	Intermediate Care	1.58383	1.11083	1.91553
Private	Intermediate Care	3.2037	1.06935	1.44473
Private	Intermediate Care	5.49455	1.16045	1.78926
Private	Intermediate Care	4.84608	1.30624	0.89838
Private	Intermediate Care	3.08444	0.83821	0.46667
Private	Intermediate Care	2.10956	0.6743	0.71536
Private	Intermediate Care	1.91959	1.27264	0.51226
Private	Intermediate Care	1.40684	0.64968	2.39512
Private	Intermediate Care	3.39374	0.8711	1.28756
Private	Intermediate Care	3.22272	0.59948	1.83497
Private	Intermediate Care	1.25799	0.87003	1.11711
Private	Intermediate Care	1.28233	1.35188	0.92273
Private	Intermediate Care	3.10501	1.19613	1.65699
Private	Intermediate Care	2.7856	0.72507	2.16433
Private	Intermediate Care	4.04344	1.47019	0.99156
Private	Intermediate Care	2.437	0.72786	1.91908
Private	Combined	0.50496	1.17837	0.776
Private	Combined	1.06735	0.72043	1.83999
Private	Combined	4.20336	0.76415	1.22895
Private	Combined	3.4107	1.12191	1.53482
Private	Combined	2.08785	1.5425	1.72438
Private	Combined	3.04625	0.95332	2.02754
Private	Combined	2.90803	0.51047	0.43536
Private	Combined	3.56939	0.60787	1.85146
Private	Combined	3.96393	1.16387	1.31978
Private	Combined	3.15235	0.76076	0.33299
Private	Combined	3.4076	0.80243	1.43357
Private	Combined	2.30811	1.02873	2.17382
Private	Combined	2.91766	0.64158	1.51767
Private	Combined	4.36491	0.41692	1.90411
Private	Combined	4.74363	1.09216	0.74652
Private	Combined	4.93075	1.14461	1.62101
Private	Combined	2.99023	1.05626	1.18889
Private	Combined	3.42572	0.72367	0.5609
Private	Combined	2.87118	1.0448	1.64823
Private	Combined	3.77793	0.72668	0.53468
Private	Combined	3.70509	0.94667	0.61532
Private	Combined	3.67806	1.05803	1.88807
Private	Combined	2.2365	0.84701	1.16085
Private	Combined	1.53504	1.04887	1.9311
Private	Combined	2.70155	1.1679	0.77503
Private	Combined	2.79486	0.6829	0.96965
Private	Combined	4.34032	0.76064	1.14254
Nonprofit	Skilled Nursing	4.16709	1.24562	1.77307
Nonprofit	Skilled Nursing	3.61797	1.13328	1.30374
Nonprofit	Skilled Nursing	2.38854	1.04008	1.13115
Nonprofit	Skilled Nursing	3.66154	0.74244	0.81572
Nonprofit	Skilled Nursing	1.76348	1.0469	1.22657
Nonprofit	Skilled Nursing	1.4727	1.03418	1.7384
Nonprofit	Skilled Nursing	3.13782	0.62741	0.79296
Nonprofit	Skilled Nursing	1.51998	1.26759	1.02277
Nonprofit	Skilled Nursing	2.29565	1.18931	2.26331
Nonprofit	Skilled Nursing	2.13205	1.09734	1.17935
Nonprofit	Skilled Nursing	0.98895	0.97672	1.01681
Nonprofit	Skilled Nursing	3.06942	0.82452	0.22348
Nonprofit	Skilled Nursing	2.09053	0.98612	0.89524
Nonprofit	Skilled Nursing	3.98652	1.29432	0.09963
Nonprofit	Skilled Nursing	4.34339	1.19482	1.76997
Nonprofit	Skilled Nursing	2.49598	1.00494	0.78459
Nonprofit	Skilled Nursing	2.44077	0.71945	1.00977
Nonprofit	Skilled Nursing	2.69806	1.002	2.61998
Nonprofit	Skilled Nursing	3.21076	0.47451	0.74388
Nonprofit	Skilled Nursing	3.29234	0.98927	1.05295
Nonprofit	Skilled Nursing	3.45994	0.5325	0.62521
Nonprofit	Skilled Nursing	2.05138	0.70738	2.50214
Nonprofit	Skilled Nursing	4.18113	1.51426	2.18568
Nonprofit	Skilled Nursing	2.30568	0.74819	1.73301
Nonprofit	Skilled Nursing	2.71217	1.07467	0.98283
Nonprofit	Intermediate Care	4.03124	1.4704	1.50661
Nonprofit	Intermediate Care	3.28795	1.4124	2.42668
Nonprofit	Intermediate Care	0.52418	1.4317	1.27568
Nonprofit	Intermediate Care	3.86031	0.65759	1.8475
Nonprofit	Intermediate Care	0.93399	1.39388	1.21142
Nonprofit	Intermediate Care	2.5159	0.95232	2.13855
Nonprofit	Intermediate Care	3.5976	0.61776	1.59347
Nonprofit	Intermediate Care	4.7402	0.85896	1.26378
Nonprofit	Intermediate Care	2.79499	0.91586	2.12164
Nonprofit	Intermediate Care	1.67595	0.93533	1.64593
Nonprofit	Intermediate Care	3.28289	0.74612	1.27469
Nonprofit	Intermediate Care	2.96898	1.11786	0.52549
Nonprofit	Intermediate Care	3.12274	0.9254	0.3042
Nonprofit	Intermediate Care	4.289	0.98344	0.87769
Nonprofit	Intermediate Care	4.73094	1.3718	1.18861
Nonprofit	Intermediate Care	3.05483	1.12452	2.17892
Nonprofit	Intermediate Care	2.00955	1.00117	0.65707
Nonprofit	Intermediate Care	3.71748	0.85807	1.21198
Nonprofit	Intermediate Care	2.48786	0.90867	0.86352
Nonprofit	Intermediate Care	1.23058	1.39956	0.48332
Nonprofit	Intermediate Care	2.78247	0.9298	1.6603
Nonprofit	Intermediate Care	3.47392	1.02223	1.02438
Nonprofit	Intermediate Care	0.98803	0.78414	0.90739
Nonprofit	Intermediate Care	2.12364	0.91316	0.54243
Nonprofit	Intermediate Care	3.64047	1.24671	1.89119
Nonprofit	Intermediate Care	4.45327	0.90169	1.28288
Nonprofit	Intermediate Care	2.84326	1.45435	0.52997
Nonprofit	Intermediate Care	2.9479	1.38292	1.97177
Nonprofit	Intermediate Care	4.83463	1.22168	1.93701
Nonprofit	Intermediate Care	3.49024	0.71007	1.81865
Nonprofit	Intermediate Care	1.74099	1.16424	1.10265
Nonprofit	Intermediate Care	1.43878	0.6629	1.72178
Nonprofit	Intermediate Care	4.58986	1.06625	1.10283
Nonprofit	Intermediate Care	4.21047	0.35373	0.79732
Nonprofit	Intermediate Care	2.90643	0.85552	1.30925
Nonprofit	Intermediate Care	1.09431	1.06495	1.01721
Nonprofit	Intermediate Care	3.55158	1.26918	1.91802
Nonprofit	Intermediate Care	3.51987	1.32452	0.93649
Nonprofit	Intermediate Care	2.92886	1.12888	0.60265
Nonprofit	Intermediate Care	2.20758	1.13364	0.9412
Nonprofit	Intermediate Care	2.9523	1.19733	0.6048
Nonprofit	Intermediate Care	2.26966	0.41986	0.98694
