Age	Salary	Gender	Career_Change
27	66	F	No
25	43	F	No
22	53	F	Yes
49	104	M	No
27	44	M	Yes
20	52	F	Yes
28	68	M	No
25	78	F	Yes
28	76	M	No
27	66	F	Yes
25	41	F	Yes
28	61	M	No
27	47	M	No
20	52	F	Yes
27	57	F	Yes
25	74	F	No
20	30	F	Yes
25	75	F	Yes
22	48	F	Yes
28	57	F	No
28	80	F	No
28	70	F	No
26	45	F	Yes
30	86	F	No
35	87	M	No
32	94	F	No
31	96	M	No
26	69	F	Yes
28	77	F	No
20	50	F	Yes
25	59	M	Yes
27	72	F	No
35	94	M	No
26	79	M	Yes
25	80	F	Yes
28	78	M	Yes
27	68	M	Yes
20	52	F	Yes
25	74	F	No
27	75	M	No
26	66	M	Yes
26	70	F	No
28	92	F	No
32	81	F	No
25	68	M	No
27	66	M	Yes
31	83	F	Yes
27	67	F	No
40	99	F	No
28	60	F	No
34	96	F	No
25	79	M	Yes
25	46	M	Yes
26	72	M	Yes
25	64	F	Yes
27	68	F	No
26	63	F	No
28	67	F	Yes
26	67	F	Yes
23	34	F	No
30	87	M	No
35	94	M	No
25	72	F	Yes
46	100	F	No
26	39	M	No
25	58	F	Yes
28	66	M	Yes
32	95	F	No
41	107	F	No
29	86	M	Yes
29	89	F	No
21	54	M	Yes
26	60	M	Yes
28	74	F	Yes
33	93	F	No
36	98	M	No
23	50	M	Yes
31	81	F	No
34	83	M	No
25	57	F	No
25	40	F	Yes
28	86	F	No
32	82	F	No
24	34	F	Yes
49	114	F	No
28	89	F	No
22	28	M	Yes
26	68	F	Yes
31	86	M	Yes
20	53	F	Yes
23	25	M	Yes
28	73	M	No
26	73	M	No
27	63	F	No
33	97	M	No
35	82	M	No
44	108	M	No
25	74	F	No
20	54	F	Yes
25	59	F	No
26	63	M	Yes
28	61	M	Yes
25	80	F	No
26	62	F	No
25	64	F	Yes
25	64	F	Yes
25	66	F	No
26	42	F	No
25	42	M	Yes
22	55	F	Yes
21	49	F	Yes
25	67	F	No
35	95	F	No
26	48	F	No
29	87	F	No
35	82	M	No
25	64	M	Yes
26	80	F	No
28	91	M	No
26	67	F	No
24	30	F	Yes
38	102	F	No
27	35	F	Yes
20	57	F	Yes
27	72	F	Yes
23	23	M	Yes
24	56	F	Yes
28	76	F	No
28	72	M	No
44	118	M	No
21	55	F	Yes
22	52	F	Yes
32	84	F	No
29	89	M	No
28	83	M	No
26	76	M	No
25	67	F	Yes
27	67	M	No
28	74	F	No
27	42	M	No
28	82	M	No
28	67	M	No
49	124	M	No
30	91	F	No
37	117	F	No
27	77	M	Yes
25	78	F	No
27	40	F	Yes
25	41	F	No
25	74	M	Yes
26	43	F	Yes
29	85	M	No
20	52	F	Yes
27	78	M	Yes
35	87	M	No
28	76	F	No
28	87	F	No
35	80	F	No
29	96	F	No
30	80	M	No
27	74	M	No
31	93	F	No
27	64	M	Yes
26	71	M	No
25	40	F	Yes
24	49	F	Yes
26	76	M	No
28	86	F	No
32	82	F	No
24	51	M	Yes
35	92	F	No
26	71	F	No
25	59	M	Yes
33	82	F	No
27	47	F	No
26	60	F	No
33	94	F	No
27	78	F	No
