obs	v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	comp1	comp2	comp3
E1	0.04239	0.03733	0.04073	0.06343	0.0587	0.07909	0.08941	0.086	0.0894	0.10588	0.09896	0.09387	0.08612	0.08808	0.08287	0.08931	0.19157	0.30586	0.27164	0.25558	0.27506	0.32883	0.41398	0.37983	0.38511	0.34702	0.28781	0.23411	0.12683	0.10672	0.11069	0.08655	0.07645	0.0774	0.09222	0.09884	0.09965	0.3679	0.02434	0.03305	0.00849	0.0037	0.00266	0.332	0.269	0.38
E2	0.05972	0.04534	0.05385	0.08307	0.10233	0.10026	0.1252	0.12905	0.12805	0.14907	0.12319	0.11558	0.1084	0.09644	0.09465	0.10597	0.17264	0.27975	0.28248	0.29855	0.28828	0.33759	0.36415	0.38261	0.27206	0.27824	0.24637	0.20572	0.1137	0.0962	0.09859	0.06957	0.06847	0.06786	0.08197	0.09037	0.08924	0.27854	0.02347	0.02855	0.00962	0.00369	0.0029	0.261	0.41	0.317
E3	0.0157	0.01546	0.01522	0.01804	0.01942	0.02086	0.02534	0.02943	0.03629	0.04186	0.03983	0.04781	0.04914	0.05328	0.06936	0.07921	0.20378	0.43489	0.35361	0.25094	0.21384	0.31259	0.54013	0.54058	0.4686	0.38665	0.33294	0.2606	0.13498	0.12612	0.10972	0.0864	0.08795	0.09013	0.10793	0.09964	0.10517	0.28957	0.02362	0.02587	0.00732	0.00255	0.0013	0.632	0.046	0.285
E4	0.05251	0.04501	0.05444	0.07179	0.08409	0.09886	0.10205	0.10142	0.10619	0.11988	0.11875	0.10878	0.09008	0.08508	0.1002	0.09695	0.17759	0.34857	0.29439	0.26981	0.28828	0.32998	0.4108	0.39862	0.3084	0.28957	0.28899	0.19603	0.11151	0.10984	0.10299	0.08207	0.07574	0.07341	0.087	0.0935	0.09704	0.2785	0.02437	0.02781	0.01002	0.00323	0.00289	0.309	0.368	0.292
E5	0.07389	0.062	0.07542	0.11515	0.13371	0.14232	0.17224	0.166	0.18183	0.17575	0.13671	0.14412	0.10767	0.10387	0.10531	0.1071	0.18773	0.34539	0.30088	0.33286	0.35174	0.35341	0.346	0.30877	0.23133	0.23633	0.18331	0.14723	0.08062	0.08199	0.081	0.06592	0.06298	0.06211	0.06573	0.05862	0.06647	0.17641	0.02362	0.02184	0.00973	0.00368	0.00358	0.21	0.58	0.205
E6	0.05785	0.04879	0.06489	0.1054	0.10645	0.11415	0.12253	0.1286	0.14809	0.13805	0.13488	0.13464	0.09646	0.0987	0.09059	0.09083	0.19494	0.31579	0.31303	0.31615	0.32938	0.35699	0.3896	0.40412	0.30271	0.26867	0.21709	0.16847	0.09795	0.09553	0.08552	0.06673	0.07116	0.07648	0.08051	0.0714	0.06793	0.20092	0.02294	0.02374	0.00858	0.00394	0.00308	0.307	0.446	0.238
E7	0.06053	0.05213	0.0657	0.0901	0.09664	0.11198	0.12671	0.14339	0.12778	0.14387	0.1426	0.14872	0.10376	0.10132	0.11346	0.10322	0.17333	0.21867	0.25304	0.2997	0.26435	0.29449	0.2846	0.32058	0.3063	0.25177	0.26006	0.18582	0.09919	0.1044	0.11513	0.08481	0.08104	0.08394	0.09703	0.10063	0.10056	0.37854	0.02883	0.0342	0.01005	0.00392	0.00351	0.111	0.422	0.462
E8	0.08783	0.0697	0.08102	0.14449	0.1519	0.1776	0.17671	0.21025	0.20869	0.18605	0.19726	0.16786	0.15713	0.12425	0.10553	0.11459	0.16869	0.22901	0.25965	0.34685	0.35183	0.32303	0.2321	0.22078	0.17971	0.1796	0.16215	0.11912	0.08316	0.07809	0.09701	0.07288	0.06616	0.05856	0.06831	0.07055	0.07624	0.26382	0.02744	0.02867	0.01173	0.00416	0.00466	0.003	0.677	0.313
E9	0.06473	0.05485	0.06043	0.10023	0.09251	0.11207	0.12948	0.1524	0.14244	0.15355	0.13858	0.13795	0.12475	0.09762	0.09393	0.11694	0.15638	0.26452	0.28373	0.3013	0.30997	0.30378	0.3147	0.28056	0.25644	0.26871	0.24996	0.16279	0.1009	0.09818	0.11158	0.08065	0.06882	0.07476	0.09488	0.09077	0.10356	0.3578	0.02767	0.03645	0.01073	0.00377	0.00375	0.138	0.432	0.41
E10	0.07363	0.05591	0.06459	0.11542	0.11481	0.13649	0.15196	0.15358	0.1564	0.16033	0.1278	0.13531	0.1123	0.08471	0.08906	0.10258	0.20993	0.34753	0.32943	0.32377	0.32141	0.32484	0.38005	0.44395	0.29853	0.22915	0.19474	0.16454	0.07736	0.081	0.06173	0.05516	0.05883	0.06028	0.06882	0.05115	0.05127	0.08439	0.0181	0.01872	0.00804	0.00376	0.00276	0.368	0.527	0.067
E11	0.04299	0.03501	0.04141	0.06373	0.06816	0.07408	0.08693	0.09618	0.09109	0.0913	0.10287	0.08877	0.08966	0.09174	0.10009	0.09329	0.17744	0.30853	0.29026	0.2524	0.2729	0.2876	0.40613	0.41596	0.31802	0.32544	0.31697	0.22663	0.11114	0.11937	0.1092	0.08776	0.07637	0.09114	0.10139	0.097	0.1123	0.37725	0.02622	0.03479	0.00961	0.00319	0.00273	0.326	0.28	0.348
E12	0.11763	0.08975	0.117	0.18257	0.19047	0.20166	0.25108	0.22774	0.23404	0.26026	0.22703	0.18693	0.16113	0.13802	0.10776	0.11054	0.1653	0.24478	0.29069	0.36761	0.4294	0.31019	0.2343	0.22953	0.14131	0.12472	0.10727	0.09263	0.06541	0.06376	0.05955	0.04781	0.04378	0.04533	0.04724	0.0449	0.04522	0.12223	0.02195	0.02205	0.01031	0.00409	0.00441	0.019	0.818	0.121
