The data contain the outcomes for two items in the Montana Economic Outlook Poll conducted in May 1992, with accompanying demographics for 209 out of 418 poll respondents. The items are whether the respondent feels his/her financial status is worse, the same, or better than a year ago, and whether the respondent views the state economic outlook as better over the next year. Respondents are classified by age, income , political orientation, and area of residence in the state. 
Data Source: http://lib.stat.cmu.edu/DASL/Datafiles/montanadat.html


ID	Age	Sex	Yearly Income	Political Orientation	Area	Financial Status	State Economic Outlook

1	55 and over	Male	20-35$K	Independent	Western	Same	Better
2	35-54	Male	Over $35K	Republican	Western	Better	Better
3	Under 35	Male	20-35$K	--	Western	Same	Better
4	55 and over	Female	20-35$K	Democrat	Western	Worse	Not Better
5	55 and over	Female	Over $35K	Republican	Southeastern	Same	--
6	Under 35	Male	20-35$K	Democrat	Southeastern	Better	--
7	55 and over	Female	Under $20K	Republican	Southeastern	Worse	Better
8	Under 35	Male	Under $20K	Republican	Northeastern	Worse	Not Better
9	55 and over	Female	--	Republican	Southeastern	Same	Not Better
10	Under 35	Male	--	Democrat	Western	Same	Better
11	35-54	Female	20-35$K	Republican	Western	Same	--
12	55 and over	Female	Under $20K	Republican	Northeastern	Same	Not Better
13	35-54	Male	20-35$K	Democrat	Southeastern	Better	Not Better
14	55 and over	Male	--	Republican	Northeastern	Same	Not Better
15	55 and over	Male	Over $35K	Republican	Southeastern	Better	Better
16	55 and over	Male	Over $35K	Democrat	Southeastern	Worse	Better
17	Under 35	Female	20-35$K	Democrat	Southeastern	Better	--
18	55 and over	Female	20-35$K	Democrat	Southeastern	Same	Better
19	55 and over	Female	20-35$K	Republican	Southeastern	Worse	Not Better
20	35-54	Male	Over $35K	Republican	Southeastern	Better	Better
21	Under 35	Female	Over $35K	Democrat	Western	Better	Not Better
22	55 and over	Male	Under $20K	Independent	Western	Same	Not Better
23	Under 35	Female	20-35$K	Republican	Western	Better	--
24	55 and over	Male	20-35$K	Independent	Western	Same	Better
25	35-54	Male	Over $35K	Democrat	Western	Better	Not Better
26	Under 35	Male	Under $20K	Republican	Western	Worse	Better
27	55 and over	Male	20-35$K	Democrat	Western	Better	Not Better
28	55 and over	Female	--	Democrat	Southeastern	Same	Not Better
29	35-54	Female	20-35$K	Independent	Southeastern	Same	Not Better
30	35-54	Female	20-35$K	Republican	Southeastern	Worse	Not Better
31	35-54	Male	20-35$K	Republican	Western	Same	Better
32	Under 35	Male	20-35$K	--	Western	Better	Not Better
33	Under 35	Female	20-35$K	Republican	Southeastern	Better	Better
34	35-54	Female	Over $35K	Democrat	Southeastern	Same	Not Better
35	Under 35	Male	Under $20K	Democrat	Southeastern	Same	Better
36	55 and over	Male	20-35$K	Democrat	Southeastern	Same	--
37	35-54	Male	Over $35K	Republican	Southeastern	Better	Not Better
38	55 and over	Male	Under $20K	Republican	Southeastern	Better	Not Better
39	Under 35	Male	Under $20K	Republican	Southeastern	Worse	Not Better
40	Under 35	Male	Under $20K	Democrat	Western	Worse	Better
41	55 and over	Female	Over $35K	Democrat	Northeastern	Worse	Not Better
42	35-54	Female	20-35$K	Democrat	Western	Worse	Not Better
43	Under 35	Male	20-35$K	Republican	Western	Same	Better
44	Under 35	Female	Over $35K	Democrat	Western	Same	Not Better
45	Under 35	Female	Over $35K	Republican	Western	Better	Better
46	35-54	Male	Over $35K	Independent	Western	Better	Better
47	Under 35	Female	20-35$K	Republican	Northeastern	Better	Not Better
48	35-54	Male	Over $35K	Democrat	Western	Worse	Not Better
49	Under 35	Female	--	Democrat	Western	Better	Better
50	Under 35	Female	20-35$K	Democrat	Southeastern	Better	--
51	35-54	Female	--	Republican	Southeastern	Better	--
52	Under 35	Female	20-35$K	Independent	Western	Worse	Not Better
53	35-54	Female	Under $20K	Democrat	Western	Worse	Not Better
54	55 and over	Female	--	Democrat	Western	Same	Better
55	Under 35	Male	Over $35K	Democrat	Western	Worse	Not Better
