Year	Make	Power	0~60 mph	Weight	Gas Mileage	Engine Displacement
		kw	sec	kg	mpg	cc
1992	Buick	132	14	2238	11	5736.5
1992	Acura	154	12	2324	11	5212
1992	GMC	158	13	1531	10	5900.4
1992	Chrysler	132	10	2088	12	6277.4
1992	Kia	121	12	1202	12	5736.5
1992	Suzuki	106	10	1417	14	5736.5
1992	Volvo	95	14	1661	13	5031.7
1992	Mercedes	132	14	2208	12	5736.5
1992	Acura	128	13	1412	12	5736.5
1992	Isuzu	124	17	1518	13	5900.4
1992	Mazda	110	10	1810	13	5212
1992	Lexus	116	14	1899	13	5752.9
1992	Toyota	128	17	1696	14	5900.4
1992	Saab	110	15	1488	13	5212
1992	Lexus	94	15	1536	13	4949.8
1992	Kia	145	17	1426	12	7031.3
1992	Volvo	152	9	1542	12	7031.3
1992	Infiniti	117	15	1754	12	5736.5
1992	Honda	147	18	2140	10	5031.7
1992	Nissan	110	13	1437	11	6556
1992	Saturn	165	14	1730	12	7457.4
1992	Mazda	139	15	1680	13	6556
1992	Buick	122	12	1952	12	6556
1992	GMC	128	13	2005	13	6556
1992	Lincoln	95	10	2106	14	4949.8
1992	Toyota	102	11	1759	13	4949.8
1993	Mercedes	112	16	1714	15	5752.9
1993	Honda	100	10	1292	15	4949.8
1993	Lincoln	108	11	1853	15	5752.9
1993	Saturn	110	13	1688	14	5736.5
1993	Buick	106	12	1774	14	5736.5
1993	Kia	128	16	1655	15	6556
1993	Mazda	165	17	1347	15	7457.4
1993	Isuzu	161	10	1597	14	7441
1993	Nissan	113	14	2152	14	5736.5
1993	Honda	110	15	1625	15	5212
1993	Infiniti	117	14	1279	15	5572.6
1993	GMC	110	17	1705	15	5212
1993	Acura	110	12	1468	14	6556
1993	Saturn	110	18	2121	15	5212
1993	Suzuki	158	15	1496	14	7211.6
1993	Lexus	112	15	1815	15	5752.9
1993	Saab	158	10	1873	15	7211.6
1993	Toyota	110	14	1699	15	5212
1993	Mercedes	121	12	1636	15	5736.5
1993	Saab	124	12	1638	14	6556
1993	Infiniti	128	15	1408	14	6556
1993	Chrysler	165	13	1432	15	7457.4
1993	Volvo	110	10	1174	15	4982.5
1993	Isuzu	110	13	1517	15	4982.5
1993	Suzuki	102	14	2198	15	4949.8
1994	Volvo	145	12	1139	16	7031.3
1994	Buick	110	12	1822	16	5212
1994	Kia	52	16	1633	16	4097.5
1994	Kia	102	15	1352	16	4949.8
1994	Infiniti	169	13	1227	17	6556
1994	Mazda	95	14	1527	16	4949.8
1994	Lexus	110	14	1642	16	5212
1994	Volvo	73	16	1745	16	4097.5
1994	Honda	121	17	1146	16	5736.5
1994	Buick	88	13	1535	16	4982.5
1994	Isuzu	77	15	1016	16	4097.5
1994	Nissan	106	21	1476	16	5736.5
1994	Suzuki	73	15	1920	16	4097.5
1994	Toyota	110	12	1523	16	5212
1994	GMC	52	14	2250	15	4097.5
1994	GMC	80	15	1778	16	4228.6
1994	Lexus	110	17	1487	16	6556
1994	Chrysler	110	14	2047	16	5212
1994	Saab	106	16	1386	16	5212
1994	Mazda	110	12	2123	15	5212
1994	Saturn	104	21	1246	16	5752.9
1994	Nissan	111	16	1046	16	5752.9
1994	Acura	97	8	1589	16	2671.6
1994	Toyota	110	14	1964	17	4982.5
1994	Mercedes	110	15	1775	16	4982.5
1994	Chrysler	124	22	1798	16	6277.4
1994	Lincoln	139	14	1384	16	6392.1
1994	Lincoln	106	13	1083	16	5736.5
1995	Toyota	102	11	2052	18	4949.8
1995	Nissan	95	13	1429	18	4998.9
1995	Mazda	73	11	1300	18	3802.5
1995	Saturn	64	15	1070	18	4097.5
1995	GMC	73	14	1402	17	4097.5
1995	Honda	124	12	1297	17	6556
1995	Volvo	62	18	871	19	3687.7
1995	Mercedes	80	13	1520	19	4097.5
1995	Lexus	88	16	882	19	4228.6
1995	Mazda	66	16	1060	19	1147.3
1995	Infiniti	132	21	1063	18	5736.5
1995	Honda	124	13	1251	17	5736.5
1995	Saab	139	23	1675	17	6556
1995	Toyota	94	16	1086	19	4949.8
1995	Buick	82	13	1427	18	1983.2
1995	Suzuki	95	15	1307	18	5031.7
1995	Suzuki	99	19	1505	19	5212
1995	Infiniti	91	12	1498	17	2671.6
1995	GMC	71	10	1866	19	2802.7
1995	Chrysler	80	13	1287	17	4261.4
1995	Chrysler	57	20	1155	18	4097.5
1995	Lincoln	109	13	1965	17	5752.9
1995	Nissan	80	22	1498	18	3786.1
1995	Kia	102	19	1461	19	4998.9
1995	Saturn	77	21	1752	18	3687.7
1995	Lexus	73	13	1218	18	4097.5
1995	Volvo	132	22	2029	17	6556
1995	Acura	77	17	1780	17	3687.7
1995	Acura	110	9	1186	18	5212
1995	Isuzu	102	13	1110	18	4949.8
1995	Kia	113	18	1292	18	5736.5
1995	Acura	101	20	977	18	5752.9
1995	Saab	102	12	1867	19	5212
1995	Lincoln	110	17	1002	18	4982.5
1995	Isuzu	80	16	1168	17	4228.6
1995	Buick	88	15	1566	18	2753.5
1995	Mercedes	64	15	1477	19	4097.5
1996	Toyota	73	16	1113	19	3802.5
1996	Lincoln	110	12	1342	19	5900.4
1996	Suzuki	79	17	1138	20	2556.8
1996	Isuzu	91	17	1001	20	4376.1
1996	Saturn	106	13	1435	19	4998.9
1996	Acura	71	21	1498	19	3261.6
1996	Nissan	69	23	821	19	3687.7
1996	Honda	62	17	1099	20	1999.6
1996	Chrysler	73	15	1413	19	3802.5
1996	Saab	80	13	1193	20	4097.5
1996	Mercedes	121	12	1587	19	3786.1
1996	Infiniti	73	22	1193	19	3802.5
1996	Saab	66	17	1393	20	3802.5
1996	Infiniti	69	14	1431	19	3687.7
1996	Mercedes	77	16	1275	19	3687.7
1996	Suzuki	77	13	933	19	4097.5
1996	Honda	66	23	1627	20	3687.7
1996	Lincoln	64	13	1283	20	1966.8
1996	GMC	77	13	1106	20	3786.1
1996	Lexus	69	11	1387	19	4228.6
1996	Kia	80	13	2016	19	4228.6
1996	Volvo	73	15	2281	20	3687.7
1996	Saturn	66	18	942	20	3802.5
1996	Buick	106	16	1052	19	4998.9
1996	Mazda	73	14	1478	19	3802.5
1996	Isuzu	82	15	1522	20	1983.2
1997	Infiniti	77	16	1219	21	3786.1
1997	Saturn	62	16	889	20	3278
1997	Buick	66	18	946	21	3261.6
1997	Toyota	73	18	1389	21	3802.5
1997	Nissan	73	13	1345	20	4097.5
1997	Honda	64	16	1979	20	1589.8
1997	Acura	75	15	1303	20	2147.1
1997	GMC	80	21	1173	21	4294.2
1997	GMC	66	15	954	20	1868.5
1997	Buick	71	20	883	20	1147.3
1997	Chrysler	62	17	1493	21	3278
1997	Nissan	102	13	1431	21	4949.8
1997	Volvo	73	16	997	21	3687.7
1997	Isuzu	64	14	1529	20	3278
1997	Chrysler	80	14	1873	20	4261.4
1997	Kia	69	15	1216	20	3245.2
1997	Honda	62	19	1250	21	3278
1997	Kia	74	13	1347	20	2130.7
1997	Lexus	66	15	1642	20	2294.6
1997	Mazda	64	15	764	20	4097.5
1997	Mazda	102	18	1729	20	5212
1997	Mercedes	62	13	1752	20	3278
1997	Saab	80	16	935	21	3687.7
1997	Volvo	66	14	1432	21	3802.5
1997	Lexus	80	15	1523	20	3687.7
1997	Lincoln	89	15	1409	21	2556.8
1997	Toyota	80	14	1501	21	3786.1
1997	Suzuki	77	19	1457	21	3786.1
1997	Acura	72	17	970	20	4097.5
1998	Infiniti	63	16	813	21	1999.6
1998	Mazda	84	17	1266	22	3786.1
1998	Lexus	55	13	1535	22	1983.2
1998	Lincoln	73	18	739	21	3687.7
1998	Chrysler	61	13	1015	23	2294.6
