Year	Make	country	luxury	Power	0~60 mph	Weight	Gas Mileage	Engine Displacement
				kw	sec	kg	mpg	cc
1992	Buick	US	N	132	14	2238	11	5736.5
1992	Acura	Japan	Y	154	12	2324	11	5212
1992	GMC	US	N	158	13	1531	10	5900.4
1992	Chrysler	US	N	132	10	2088	12	6277.4
1992	Kia	Korea	N	121	12	1202	12	5736.5
1992	Suzuki	Japan	N	106	10	1417	14	5736.5
1992	Volvo	Sweden	Y	95	14	1661	13	5031.7
1992	Mercedes	Germany	Y	132	14	2208	12	5736.5
1992	Acura	Japan	Y	128	13	1412	12	5736.5
1992	Isuzu	Japan	N	124	17	1518	13	5900.4
1992	Mazda	Japan	N	110	10	1810	13	5212
1992	Lexus	Japan	Y	116	14	1899	13	5752.9
1992	Toyota	Japan	N	128	17	1696	14	5900.4
1992	Saab	Sweden	N	110	15	1488	13	5212
1992	Lexus	Japan	Y	94	15	1536	13	4949.8
1992	Kia	Korea	N	145	17	1426	12	7031.3
1992	Volvo	Sweden	Y	152	9	1542	12	7031.3
1992	Infiniti	Japan	Y	117	15	1754	12	5736.5
1992	Honda	Japan	N	147	18	2140	10	5031.7
1992	Nissan	Japan	N	110	13	1437	11	6556
1992	Saturn	US	N	165	14	1730	12	7457.4
1992	Mazda	Japan	N	139	15	1680	13	6556
1992	Buick	US	N	122	12	1952	12	6556
1992	GMC	US	N	128	13	2005	13	6556
1992	Lincoln	US	Y	95	10	2106	14	4949.8
1992	Toyota	Japan	N	102	11	1759	13	4949.8
1993	Mercedes	Germany	Y	112	16	1714	15	5752.9
1993	Honda	Japan	N	100	10	1292	15	4949.8
1993	Lincoln	US	Y	108	11	1853	15	5752.9
1993	Saturn	US	N	110	13	1688	14	5736.5
1993	Buick	US	N	106	12	1774	14	5736.5
1993	Kia	Korea	N	128	16	1655	15	6556
1993	Mazda	Japan	N	165	17	1347	15	7457.4
1993	Isuzu	Japan	N	161	10	1597	14	7441
1993	Nissan	Japan	N	113	14	2152	14	5736.5
1993	Honda	Japan	N	110	15	1625	15	5212
1993	Infiniti	Japan	Y	117	14	1279	15	5572.6
1993	GMC	US	N	110	17	1705	15	5212
1993	Acura	Japan	Y	110	12	1468	14	6556
1993	Saturn	US	N	110	18	2121	15	5212
1993	Suzuki	Japan	N	158	15	1496	14	7211.6
1993	Lexus	Japan	Y	112	15	1815	15	5752.9
1993	Saab	Sweden	N	158	10	1873	15	7211.6
1993	Toyota	Japan	N	110	14	1699	15	5212
1993	Mercedes	Germany	Y	121	12	1636	15	5736.5
1993	Saab	Sweden	N	124	12	1638	14	6556
1993	Infiniti	Japan	Y	128	15	1408	14	6556
1993	Chrysler	US	N	165	13	1432	15	7457.4
1993	Volvo	Sweden	Y	110	10	1174	15	4982.5
1993	Isuzu	Japan	N	110	13	1517	15	4982.5
1993	Suzuki	Japan	N	102	14	2198	15	4949.8
1994	Volvo	Sweden	Y	145	12	1139	16	7031.3
1994	Buick	US	N	110	12	1822	16	5212
1994	Kia	Korea	N	52	16	1633	16	4097.5
1994	Kia	Korea	N	102	15	1352	16	4949.8
1994	Infiniti	Japan	Y	169	13	1227	17	6556
1994	Mazda	Japan	N	95	14	1527	16	4949.8
1994	Lexus	Japan	Y	110	14	1642	16	5212
1994	Volvo	Sweden	Y	73	16	1745	16	4097.5
1994	Honda	Japan	N	121	17	1146	16	5736.5
1994	Buick	US	N	88	13	1535	16	4982.5
1994	Isuzu	Japan	N	77	15	1016	16	4097.5
1994	Nissan	Japan	N	106	21	1476	16	5736.5
1994	Suzuki	Japan	N	73	15	1920	16	4097.5
1994	Toyota	Japan	N	110	12	1523	16	5212
1994	GMC	US	N	52	14	2250	15	4097.5
1994	GMC	US	N	80	15	1778	16	4228.6
1994	Lexus	Japan	Y	110	17	1487	16	6556
1994	Chrysler	US	N	110	14	2047	16	5212
1994	Saab	Sweden	N	106	16	1386	16	5212
1994	Mazda	Japan	N	110	12	2123	15	5212
1994	Saturn	US	N	104	21	1246	16	5752.9
1994	Nissan	Japan	N	111	16	1046	16	5752.9
1994	Acura	Japan	Y	97	8	1589	16	2671.6
1994	Toyota	Japan	N	110	14	1964	17	4982.5
1994	Mercedes	Germany	Y	110	15	1775	16	4982.5
1994	Chrysler	US	N	124	22	1798	16	6277.4
1994	Lincoln	US	Y	139	14	1384	16	6392.1
1994	Lincoln	US	Y	106	13	1083	16	5736.5
1995	Toyota	Japan	N	102	11	2052	18	4949.8
1995	Nissan	Japan	N	95	13	1429	18	4998.9
1995	Mazda	Japan	N	73	11	1300	18	3802.5
1995	Saturn	US	N	64	15	1070	18	4097.5
1995	GMC	US	N	73	14	1402	17	4097.5
1995	Honda	Japan	N	124	12	1297	17	6556
1995	Volvo	Sweden	Y	62	18	871	19	3687.7
1995	Mercedes	Germany	Y	80	13	1520	19	4097.5
1995	Lexus	Japan	Y	88	16	882	19	4228.6
1995	Mazda	Japan	N	66	16	1060	19	1147.3
1995	Infiniti	Japan	Y	132	21	1063	18	5736.5
1995	Honda	Japan	N	124	13	1251	17	5736.5
1995	Saab	Sweden	N	139	23	1675	17	6556
1995	Toyota	Japan	N	94	16	1086	19	4949.8
1995	Buick	US	N	82	13	1427	18	1983.2
1995	Suzuki	Japan	N	95	15	1307	18	5031.7
1995	Suzuki	Japan	N	99	19	1505	19	5212
1995	Infiniti	Japan	Y	91	12	1498	17	2671.6
1995	GMC	US	N	71	10	1866	19	2802.7
1995	Chrysler	US	N	80	13	1287	17	4261.4
1995	Chrysler	US	N	57	20	1155	18	4097.5
1995	Lincoln	US	Y	109	13	1965	17	5752.9
1995	Nissan	Japan	N	80	22	1498	18	3786.1
1995	Kia	Korea	N	102	19	1461	19	4998.9
1995	Saturn	US	N	77	21	1752	18	3687.7
1995	Lexus	Japan	Y	73	13	1218	18	4097.5
1995	Volvo	Sweden	Y	132	22	2029	17	6556
1995	Acura	Japan	Y	77	17	1780	17	3687.7
1995	Acura	Japan	Y	110	9	1186	18	5212
1995	Isuzu	Japan	N	102	13	1110	18	4949.8
1995	Kia	Korea	N	113	18	1292	18	5736.5
1995	Acura	Japan	Y	101	20	977	18	5752.9
1995	Saab	Sweden	N	102	12	1867	19	5212
1995	Lincoln	US	Y	110	17	1002	18	4982.5
1995	Isuzu	Japan	N	80	16	1168	17	4228.6
1995	Buick	US	N	88	15	1566	18	2753.5
1995	Mercedes	Germany	Y	64	15	1477	19	4097.5
1996	Toyota	Japan	N	73	16	1113	19	3802.5
1996	Lincoln	US	Y	110	12	1342	19	5900.4
1996	Suzuki	Japan	N	79	17	1138	20	2556.8
1996	Isuzu	Japan	N	91	17	1001	20	4376.1
1996	Saturn	US	N	106	13	1435	19	4998.9
1996	Acura	Japan	Y	71	21	1498	19	3261.6
1996	Nissan	Japan	N	69	23	821	19	3687.7
1996	Honda	Japan	N	62	17	1099	20	1999.6
1996	Chrysler	US	N	73	15	1413	19	3802.5
1996	Saab	Sweden	N	80	13	1193	20	4097.5
1996	Mercedes	Germany	Y	121	12	1587	19	3786.1
1996	Infiniti	Japan	Y	73	22	1193	19	3802.5
1996	Saab	Sweden	N	66	17	1393	20	3802.5
1996	Infiniti	Japan	Y	69	14	1431	19	3687.7
1996	Mercedes	Germany	Y	77	16	1275	19	3687.7
1996	Suzuki	Japan	N	77	13	933	19	4097.5
1996	Honda	Japan	N	66	23	1627	20	3687.7
1996	Lincoln	US	Y	64	13	1283	20	1966.8
1996	GMC	US	N	77	13	1106	20	3786.1
1996	Lexus	Japan	Y	69	11	1387	19	4228.6
1996	Kia	Korea	N	80	13	2016	19	4228.6
1996	Volvo	Sweden	Y	73	15	2281	20	3687.7
1996	Saturn	US	N	66	18	942	20	3802.5
1996	Buick	US	N	106	16	1052	19	4998.9
1996	Mazda	Japan	N	73	14	1478	19	3802.5
1996	Isuzu	Japan	N	82	15	1522	20	1983.2
1997	Infiniti	Japan	Y	77	16	1219	21	3786.1
1997	Saturn	US	N	62	16	889	20	3278
1997	Buick	US	N	66	18	946	21	3261.6
1997	Toyota	Japan	N	73	18	1389	21	3802.5
1997	Nissan	Japan	N	73	13	1345	20	4097.5
1997	Honda	Japan	N	64	16	1979	20	1589.8
1997	Acura	Japan	Y	75	15	1303	20	2147.1
1997	GMC	US	N	80	21	1173	21	4294.2
1997	GMC	US	N	66	15	954	20	1868.5
1997	Buick	US	N	71	20	883	20	1147.3
1997	Chrysler	US	N	62	17	1493	21	3278
1997	Nissan	Japan	N	102	13	1431	21	4949.8
1997	Volvo	Sweden	Y	73	16	997	21	3687.7
1997	Isuzu	Japan	N	64	14	1529	20	3278
1997	Chrysler	US	N	80	14	1873	20	4261.4
1997	Kia	Korea	N	69	15	1216	20	3245.2
1997	Honda	Japan	N	62	19	1250	21	3278
1997	Kia	Korea	N	74	13	1347	20	2130.7
1997	Lexus	Japan	Y	66	15	1642	20	2294.6
1997	Mazda	Japan	N	64	15	764	20	4097.5
1997	Mazda	Japan	N	102	18	1729	20	5212
1997	Mercedes	Germany	Y	62	13	1752	20	3278
1997	Saab	Sweden	N	80	16	935	21	3687.7
1997	Volvo	Sweden	Y	66	14	1432	21	3802.5
1997	Lexus	Japan	Y	80	15	1523	20	3687.7
1997	Lincoln	US	Y	89	15	1409	21	2556.8
1997	Toyota	Japan	N	80	14	1501	21	3786.1
1997	Suzuki	Japan	N	77	19	1457	21	3786.1
1997	Acura	Japan	Y	72	17	970	20	4097.5
1998	Infiniti	Japan	Y	63	16	813	21	1999.6
1998	Mazda	Japan	N	84	17	1266	22	3786.1
1998	Lexus	Japan	Y	55	13	1535	22	1983.2
1998	Lincoln	US	Y	73	18	739	21	3687.7
1998	Chrysler	US	N	61	13	1015	23	2294.6
1998	Mazda	Japan	N	52	14	1698	21	2294.6
1998	Isuzu	Japan	N	77	15	1284	22	4097.5
1998	Saab	Sweden	N	66	12	1142	23	3802.5
1998	Nissan	Japan	N	63	16	971	21	1966.8
1998	Toyota	Japan	N	82	19	1318	23	3802.5
1998	Kia	Korea	N	63	19	916	23	1999.6
1998	Lexus	Japan	Y	71	14	1179	22	2392.9
1998	Mercedes	Germany	Y	78	17	1325	21	2540.4
1998	Mercedes	Germany	Y	69	14	2218	21	3278
1998	Volvo	Sweden	Y	84	15	1607	21	1983.2
1998	Lincoln	US	Y	69	16	1036	22	1770.1
1998	Toyota	Japan	N	39	18	1246	23	1589.8
1998	Honda	Japan	N	64	15	958	22	2294.6
1998	Buick	US	N	80	15	1099	22	1983.2
1998	Isuzu	Japan	N	73	13	833	22	3687.7
1998	Infiniti	Japan	Y	64	17	1308	23	1966.8
1998	Saturn	US	N	57	19	1228	23	2294.6
1998	Saturn	US	N	52	13	1655	23	2294.6
1998	GMC	US	N	72	14	1333	21	1983.2
1998	Saab	Sweden	N	69	24	924	23	3245.2
1998	Chrysler	US	N	77	14	1728	23	2556.8
1998	Kia	Korea	N	71	12	1191	23	1966.8
1998	Acura	Japan	Y	63	14	1567	21	1999.6
1998	GMC	US	N	69	13	911	23	1884.8
1998	Suzuki	Japan	N	80	18	1515	22	3786.1
1998	Suzuki	Japan	N	69	15	1505	23	3245.2
1998	Volvo	Sweden	Y	69	22	1320	21	2196.3
1998	Nissan	Japan	N	80	14	1149	22	1311.2
1999	Nissan	Japan	N	84	17	1332	24	1983.2
1999	Chrysler	US	N	80	16	1520	24	2966.6
1999	Suzuki	Japan	N	80	24	1767	23	1983.2
1999	Acura	Japan	Y	66	17	1077	23	2474.9
1999	Suzuki	Japan	N	71	18	1323	23	1950.4
1999	Acura	Japan	y	71	23	1238	24	1966.8
1999	Isuzu	Japan	N	66	16	1281	24	4261.4
1999	Honda	Japan	N	66	14	847	23	1753.7
1999	GMC	US	N	55	15	1372	23	1901.2
1999	Saab	Sweden	N	67	19	1344	23	2294.6
1999	Buick	US	N	67	10	895	24	2294.6
1999	Buick	US	N	88	13	1204	23	2392.9
1999	Volvo	Sweden	Y	62	14	1182	24	2474.9
1999	Honda	Japan	N	70	18	1067	24	2196.3
1999	Mazda	Japan	N	80	16	815	23	2835.5
1999	Saab	Sweden	N	91	17	1324	23	5736.5
1999	Lincoln	US	Y	71	22	1134	23	1950.4
1999	Kia	Korea	N	73	19	1180	23	1147.3
1999	Lexus	Japan	Y	59	15	1253	23	3278
1999	Mercedes	Germany	Y	69	14	925	24	1852.1
1999	Infiniti	Japan	Y	64	15	1142	24	2294.6
1999	Toyota	Japan	N	55	18	816	24	1475.1
1999	Saturn	US	N	55	17	1148	24	2294.6
1999	Mercedes	Germany	Y	69	15	1339	24	1852.1
2000	Kia	Korea	N	58	12	985	26	1606.2
2000	Lincoln	US	Y	51	16	1129	25	1491.5
2000	Infiniti	Japan	Y	59	16	1326	24	1901.2
2000	Saab	Sweden	N	69	14	1412	24	1852.1
2000	Lexus	Japan	Y	64	21	1786	26	1835.7
2000	Volvo	Sweden	Y	84	12	967	26	2835.5
2000	Kia	Korea	N	52	18	773	25	1475.1
2000	Suzuki	Japan	N	61	17	987	26	2212.6
2000	Saturn	US	N	67	14	929	25	2556.8
2000	Saturn	US	N	66	21	1343	25	1606.2
2000	Nissan	Japan	N	64	14	1338	24	2474.9
2000	Chrysler	US	N	33	19	1233	25	1589.8
2000	Mazda	Japan	N	69	16	970	24	1704.6
2000	Nissan	Japan	N	66	18	1007	26	2474.9
2000	Volvo	Sweden	Y	33	13	1031	25	1589.8
2000	GMC	US	N	49	19	1285	26	1294.8
2000	Buick	US	N	58	22	1706	24	1606.2
2000	Mazda	Japan	N	70	21	1622	25	1999.6
2000	Honda	Japan	N	44	13	1210	24	1606.2
2000	Isuzu	Japan	N	50	10	932	25	1573.4
2000	Mercedes	Germany	Y	58	18	1026	25	1999.6
2000	Isuzu	Japan	N	83	11	1299	25	1983.2
2000	Toyota	Japan	N	55	15	1543	26	1901.2
2000	Acura	Japan	Y	64	12	1202	25	2294.6
2000	Acura	Japan	Y	65	21	1251	25	2294.6
2000	Lincoln	US	Y	55	15	1296	25	1589.8
2000	Infiniti	Japan	Y	57	16	1282	26	1589.8
2000	Toyota	Japan	N	67	15	1549	25	2556.8
