年式	メーカー	出力	0-60mph加速	重量	燃費	排気量
		kw	sec	kg	mpg	cc
1992	ビュイック	132	14	2238	11	5736.5
1992	アキュラ	154	12	2324	11	5212
1992	ゼネラルモーターズ	158	13	1531	10	5900.4
1992	クライスラー	132	10	2088	12	6277.4
1992	起亜	121	12	1202	12	5736.5
1992	スズキ	106	10	1417	14	5736.5
1992	ボルボ	95	14	1661	13	5031.7
1992	メルセデス	132	14	2208	12	5736.5
1992	アキュラ	128	13	1412	12	5736.5
1992	いすゞ	124	17	1518	13	5900.4
1992	マツダ	110	10	1810	13	5212
1992	レクサス	116	14	1899	13	5752.9
1992	トヨタ	128	17	1696	14	5900.4
1992	サーブ	110	15	1488	13	5212
1992	レクサス	94	15	1536	13	4949.8
1992	起亜	145	17	1426	12	7031.3
1992	ボルボ	152	9	1542	12	7031.3
1992	インフィニティ	117	15	1754	12	5736.5
1992	ホンダ	147	18	2140	10	5031.7
1992	日産	110	13	1437	11	6556
1992	サターン	165	14	1730	12	7457.4
1992	マツダ	139	15	1680	13	6556
1992	ビュイック	122	12	1952	12	6556
1992	ゼネラルモーターズ	128	13	2005	13	6556
1992	リンカーン	95	10	2106	14	4949.8
1992	トヨタ	102	11	1759	13	4949.8
1993	メルセデス	112	16	1714	15	5752.9
1993	ホンダ	100	10	1292	15	4949.8
1993	リンカーン	108	11	1853	15	5752.9
1993	サターン	110	13	1688	14	5736.5
1993	ビュイック	106	12	1774	14	5736.5
1993	起亜	128	16	1655	15	6556
1993	マツダ	165	17	1347	15	7457.4
1993	いすゞ	161	10	1597	14	7441
1993	日産	113	14	2152	14	5736.5
1993	ホンダ	110	15	1625	15	5212
1993	インフィニティ	117	14	1279	15	5572.6
1993	ゼネラルモーターズ	110	17	1705	15	5212
1993	アキュラ	110	12	1468	14	6556
1993	サターン	110	18	2121	15	5212
1993	スズキ	158	15	1496	14	7211.6
1993	レクサス	112	15	1815	15	5752.9
1993	サーブ	158	10	1873	15	7211.6
1993	トヨタ	110	14	1699	15	5212
1993	メルセデス	121	12	1636	15	5736.5
1993	サーブ	124	12	1638	14	6556
1993	インフィニティ	128	15	1408	14	6556
1993	クライスラー	165	13	1432	15	7457.4
1993	ボルボ	110	10	1174	15	4982.5
1993	いすゞ	110	13	1517	15	4982.5
1993	スズキ	102	14	2198	15	4949.8
1994	ボルボ	145	12	1139	16	7031.3
1994	ビュイック	110	12	1822	16	5212
1994	起亜	52	16	1633	16	4097.5
1994	起亜	102	15	1352	16	4949.8
1994	インフィニティ	169	13	1227	17	6556
1994	マツダ	95	14	1527	16	4949.8
1994	レクサス	110	14	1642	16	5212
