plant	nitrogen
PLANT3	18.15473
PLANT3	12.90409
PLANT2	18.61197
PLANT1	17.7111
PLANT4	11.81661
PLANT3	11.68327
PLANT2	23.43165
PLANT2	14.01454
PLANT1	32.15046
PLANT3	23.52293
PLANT3	16.00594
PLANT4	2.39438
PLANT2	12.17685
PLANT3	3.04056
PLANT3	14.29516
PLANT2	4.86902
PLANT3	26.2977
PLANT3	27.19654
PLANT3	11.4648
PLANT4	1.09914
PLANT2	18.93963
PLANT2	29.92086
PLANT1	17.70871
PLANT1	28.07729
PLANT2	22.32084
PLANT4	16.00756
PLANT4	13.85077
PLANT1	7.83567
PLANT1	2.06008
PLANT1	22.81923
PLANT4	9.22245
PLANT4	14.86523
PLANT3	10.78063
PLANT2	20.46398
PLANT3	28.55816
PLANT2	18.93563
PLANT1	6.22726
PLANT2	34.09996
PLANT4	8.1437
PLANT4	0.89452
PLANT4	1.43904
PLANT3	11.75579
PLANT2	26.47048
PLANT2	14.72239
PLANT2	12.17097
PLANT1	12.25362
PLANT4	5.71131
PLANT2	30.49869
PLANT1	12.39297
PLANT2	28.59955
PLANT3	19.42937
PLANT3	9.98844
PLANT1	30.35227
PLANT3	14.74264
PLANT3	9.48614
PLANT2	20.52885
PLANT1	17.58991
PLANT1	25.23966
PLANT1	31.14475
PLANT1	20.75954
PLANT1	16.73526
PLANT2	24.96739
PLANT3	20.70996
PLANT1	18.20339
PLANT3	21.34672
PLANT4	2.12997
PLANT3	17.23214
PLANT2	32.34041
PLANT1	18.62515
PLANT4	4.66185
PLANT1	19.41474
PLANT4	2.38048
PLANT2	15.08122
PLANT4	7.06608
PLANT4	8.88456
PLANT4	1.49545
PLANT4	11.70537
PLANT1	20.60228
PLANT4	20.32887
PLANT4	15.03931



