Plant1	Plant2	Plant3	Plant4
17.7111	18.61197	18.15473	11.81661
32.15046	23.43165	12.90409	2.39438
17.70871	14.01454	11.68327	1.09914
28.07729	12.17685	23.52293	16.00756
7.83567	4.86902	16.00594	13.85077
2.06008	18.93963	3.04056	9.22245
22.81923	29.92086	14.29516	14.86523
6.22726	22.32084	26.2977	8.1437
12.25362	20.46398	27.19654	0.89452
12.39297	18.93563	11.4648	1.43904
30.35227	34.09996	10.78063	5.71131
17.58991	26.47048	28.55816	2.12997
25.23966	14.72239	11.75579	4.66185
31.14475	12.17097	19.42937	2.38048
20.75954	30.49869	9.98844	7.06608
16.73526	28.59955	14.74264	8.88456
18.20339	20.52885	9.48614	1.49545
18.62515	24.96739	20.70996	11.70537
19.41474	32.34041	21.34672	20.32887
20.60228	15.08122	17.23214	15.03931
