subject	intensity	pulse
1	natural	99
2	natural	100
3	natural	85
4	natural	77
5	natural	92
6	natural	81
7	natural	101
8	natural	84
9	natural	84
10	natural	88
11	natural	63
12	natural	66
13	natural	90
14	natural	74
15	natural	73
16	natural	55
17	natural	81
18	natural	74
1	mild	142
2	mild	142
3	mild	113
4	mild	115
5	mild	117
6	mild	100
7	mild	152
8	mild	114
9	mild	134
10	mild	130
11	mild	93
12	mild	102
13	mild	115
14	mild	102
15	mild	105
16	mild	85
17	mild	113
18	mild	94
1	strenuous	179
2	strenuous	187
3	strenuous	158
4	strenuous	171
5	strenuous	155
6	strenuous	156
7	strenuous	201
8	strenuous	152
9	strenuous	186
10	strenuous	181
11	strenuous	127
12	strenuous	150
13	strenuous	156
14	strenuous	145
15	strenuous	150
16	strenuous	113
17	strenuous	156
18	strenuous	138
