Dataset Name:  HumanTemp (HumanTemp.dat)

File Format:   ASCII
               Data              (lines 17 to 50)

Procedure:     Paired t-test

Data:          1 Variable (Human normal body temperature in the morning)
               1 comparison Variable (Human normal body temperature in the evening)
               55 Observations
               with missing value in 1 variable
               Observed Data

data:
Morning	Evening
Human normal temperature
97.09975	97.08043
97.2	97.09497
97.29991	97.46701
97.40002	97.53114
--	97.51223
--	97.40901
--	97.65766
--	97.63376
--	97.44921
--	97.52057
97.60003	97.71328
97.59993	97.58163
97.70011	97.64911
97.79991	97.89063
97.79999	97.78154
97.79998	97.76709
97.80004	97.75914
97.89989	98.0763
97.90001	97.91528
98.00003	97.90152
97.99987	98.16933
98.00002	98.06091
97.99986	97.93351
97.99993	98.06789
98.00016	97.94802
98.10004	98.13147
98.09977	98.00648
98.19998	98.13094
98.19995	98.26383
98.20017	98.27113
98.1999	98.28177
98.29995	98.36132
98.3	98.17196
98.39999	98.41341
98.3999	98.45148
98.39989	98.61377
98.39989	98.32052
98.50028	98.37764
98.49997	98.5966
98.59996	98.72778
98.60002	98.6318
98.60003	98.72861
98.59999	98.56279
98.59982	98.38495
98.60005	98.60684
98.69994	98.42984
98.70007	98.67257
98.79994	98.8079
98.79993	98.64639
98.80004	98.73837
98.9001	98.78232
99.00001	98.84162
99.00009	99.07916
99.00004	98.96964
99.10002	99.08027
