A,B
50,1
60,1
53,1
40,1
51,1
99,0
35,1
55,1
74,1
101,0
56,1
45,1
61,1
92,0
73,0
51,1
49,1
24,1
37,1
31,1
67,1
62,1
100,0
58,1
46,1
51,1
27,1
52,1
48,1
79,0
48,1
67,1
66,1
27,1
59,1
48,1
77,0
58,1
51,1
97,0
34,1
79,0
91,0
41,1
64,1
81,0
105,0
84,0
54,1
23,1
106,0
16,1
53,1
37,1
41,1
27,1
77,1
74,1
40,1
34,1
23,1
43,1
44,1
73,1
41,1
23,1
30,1
19,1
82,0
52,1
32,1
67,0
59,1
89,0
50,1
15,1
102,0
11,1
42,1
43,1
45,1
35,1
69,0
51,1
51,1
29,1
81,1
23,1
21,1
50,1
